dataset,sj_id,quadrant,dimension,statistic,values
affectivevr,12.0,HP,arousal,std,0.14761626012143123
affectivevr,12.0,HP,distance,mean,1.0465825334546768
affectivevr,12.0,HP,distance,std,0.1747402605358619
affectivevr,12.0,HP,angle,mean,1.3773676995804414
affectivevr,12.0,HP,angle,std,0.4921984215167481
affectivevr,12.0,LP,valence,mean,0.850361698428669
affectivevr,12.0,LP,valence,std,0.15530557627397235
affectivevr,12.0,LP,arousal,mean,-0.2719882124435829
affectivevr,12.0,LP,arousal,std,0.16419273688287864
affectivevr,12.0,LP,distance,mean,1.0525757865693277
affectivevr,12.0,LP,distance,std,0.1368986682196324
affectivevr,12.0,LP,angle,mean,-0.24274972607677303
affectivevr,12.0,LP,angle,std,0.1979999083116483
affectivevr,12.0,LN,valence,mean,0.2627759316076797
affectivevr,12.0,LN,valence,std,0.11577259159651691
affectivevr,12.0,LN,arousal,mean,-0.495579103767724
affectivevr,12.0,LN,arousal,std,0.13421091334712007
affectivevr,12.0,LN,distance,mean,0.6241955859022039
affectivevr,12.0,LN,distance,std,0.11067266445134494
affectivevr,12.0,LN,angle,mean,-1.0021020814582107
affectivevr,12.0,LN,angle,std,0.22677785369245793
affectivevr,12.0,HN,valence,mean,-0.6208674788065259
affectivevr,12.0,HN,valence,std,0.1875837648539651
affectivevr,12.0,HN,arousal,mean,0.22647077902035465
affectivevr,12.0,HN,arousal,std,0.38447214454338036
affectivevr,12.0,HN,distance,mean,0.7940375606118697
affectivevr,12.0,HN,distance,std,0.16097641259684847
affectivevr,12.0,HN,angle,mean,1.0373704752896618
affectivevr,12.0,HN,angle,std,2.1488960077366706
affectivevr,14.0,HP,valence,mean,0.8762872257414532
affectivevr,14.0,HP,valence,std,0.058521705749150166
affectivevr,14.0,HP,arousal,mean,0.24913358806852023
affectivevr,14.0,HP,arousal,std,0.2781252134296754
affectivevr,14.0,HP,distance,mean,1.006060336127054
affectivevr,14.0,HP,distance,std,0.09110425196975284
affectivevr,14.0,HP,angle,mean,0.28965509287572927
affectivevr,14.0,HP,angle,std,0.280454093854782
affectivevr,14.0,LP,valence,mean,0.8680579864299051
affectivevr,14.0,LP,valence,std,0.15491447250685814
affectivevr,14.0,LP,arousal,mean,-0.4403052463607149
affectivevr,14.0,LP,arousal,std,0.1515101211909777
affectivevr,14.0,LP,distance,mean,1.0422022085719052
affectivevr,14.0,LP,distance,std,0.1527174757803606
affectivevr,14.0,LP,angle,mean,-0.3289164191078871
affectivevr,14.0,LP,angle,std,0.27569016961791526
affectivevr,14.0,LN,valence,mean,-0.4164074739222503
affectivevr,14.0,LN,valence,std,0.2768601887666086
affectivevr,14.0,LN,arousal,mean,-0.5761508544697329
affectivevr,14.0,LN,arousal,std,0.1823142265442729
affectivevr,14.0,LN,distance,mean,0.8097029785190802
affectivevr,14.0,LN,distance,std,0.10951453908079345
affectivevr,14.0,LN,angle,mean,-2.0232907780529796
affectivevr,14.0,LN,angle,std,0.8751509332574828
affectivevr,14.0,HN,valence,mean,-0.8316987611393252
affectivevr,14.0,HN,valence,std,0.21992628648771184
affectivevr,14.0,HN,arousal,mean,0.8618314082478215
affectivevr,14.0,HN,arousal,std,0.17526669824769078
affectivevr,14.0,HN,distance,mean,1.2331210345277963
affectivevr,14.0,HN,distance,std,0.14550599518091842
affectivevr,14.0,HN,angle,mean,2.3301924317328235
affectivevr,14.0,HN,angle,std,0.23052039345579456
affectivevr,16.0,HP,valence,mean,-0.631288395933183
affectivevr,16.0,HP,valence,std,0.12855003907748708
affectivevr,16.0,HP,arousal,mean,0.6782517012706339
affectivevr,16.0,HP,arousal,std,0.2685462411039769
affectivevr,16.0,HP,distance,mean,0.9889152828775911
affectivevr,16.0,HP,distance,std,0.1201746597925092
affectivevr,16.0,HP,angle,mean,2.1050392264199385
affectivevr,16.0,HP,angle,std,0.6292958382791419
affectivevr,16.0,LP,valence,mean,0.5295713723777791
affectivevr,16.0,LP,valence,std,0.20321225621977737
affectivevr,16.0,LP,arousal,mean,-0.6402663151658583
affectivevr,16.0,LP,arousal,std,0.19442003871725286
affectivevr,16.0,LP,distance,mean,0.8737402966086298
affectivevr,16.0,LP,distance,std,0.2027880143485736
affectivevr,16.0,LP,angle,mean,-0.9157019678757133
affectivevr,16.0,LP,angle,std,0.3884041058099153
affectivevr,16.0,LN,valence,mean,-0.49172604807313786
affectivevr,16.0,LN,valence,std,0.14628664493839183
affectivevr,16.0,LN,arousal,mean,-0.42317402530100107
affectivevr,16.0,LN,arousal,std,0.17033045066044092
affectivevr,16.0,LN,distance,mean,0.7474561982663485
affectivevr,16.0,LN,distance,std,0.1233004101714484
affectivevr,16.0,LN,angle,mean,-1.5363992247123157
affectivevr,16.0,LN,angle,std,1.1856050539073828
affectivevr,16.0,HN,valence,mean,-0.5092104127519296
affectivevr,16.0,HN,valence,std,0.14466421455456255
affectivevr,16.0,HN,arousal,mean,0.6138620584062818
affectivevr,16.0,HN,arousal,std,0.21346247263596774
affectivevr,16.0,HN,distance,mean,0.8842985908130142
affectivevr,16.0,HN,distance,std,0.09472787197805566
affectivevr,16.0,HN,angle,mean,1.5091646045818017
affectivevr,16.0,HN,angle,std,1.0260548963391825
affectivevr,18.0,HP,valence,mean,0.8562237263863733
affectivevr,18.0,HP,valence,std,0.09084271991343229
affectivevr,18.0,HP,arousal,mean,0.2719497819662468
affectivevr,18.0,HP,arousal,std,0.09671880879522861
affectivevr,18.0,HP,distance,mean,0.9124901157486884
affectivevr,18.0,HP,distance,std,0.051787785577807034
affectivevr,18.0,HP,angle,mean,0.3080135492184996
affectivevr,18.0,HP,angle,std,0.13673091792347983
affectivevr,18.0,LP,valence,mean,0.741651673162476
affectivevr,18.0,LP,valence,std,0.07168129722944497
affectivevr,18.0,LP,arousal,mean,-0.24833854672932856
affectivevr,18.0,LP,arousal,std,0.14147325768169758
affectivevr,18.0,LP,distance,mean,0.897782007114429
affectivevr,18.0,LP,distance,std,0.08891729463230987
affectivevr,18.0,LP,angle,mean,-0.19214448805666973
affectivevr,18.0,LP,angle,std,0.21365893924787413
affectivevr,18.0,LN,valence,mean,-0.7296853152660218
affectivevr,18.0,LN,valence,std,0.08103217869759087
affectivevr,18.0,LN,arousal,mean,-0.2927408224721398
affectivevr,18.0,LN,arousal,std,0.10175501098962862
affectivevr,18.0,LN,distance,mean,0.8302479609287028
affectivevr,18.0,LN,distance,std,0.09595539827286981
affectivevr,18.0,LN,angle,mean,-2.39689508699285
affectivevr,18.0,LN,angle,std,0.7631423685533596
affectivevr,18.0,HN,valence,mean,-0.5040034177296329
affectivevr,18.0,HN,valence,std,0.24989402515730363
affectivevr,18.0,HN,arousal,mean,0.33796840021215124
affectivevr,18.0,HN,arousal,std,0.20970864503483186
affectivevr,18.0,HN,distance,mean,0.7541253161776652
affectivevr,18.0,HN,distance,std,0.1196899764371545
affectivevr,18.0,HN,angle,mean,1.8300441415948934
affectivevr,18.0,HN,angle,std,1.3483095517846324
affectivevr,19.0,HP,valence,mean,0.6136141856199907
affectivevr,19.0,HP,valence,std,0.22684734184725708
affectivevr,19.0,HP,arousal,mean,0.7578365818390855
affectivevr,19.0,HP,arousal,std,0.21637999607932615
affectivevr,19.0,HP,distance,mean,1.023557190522981
affectivevr,19.0,HP,distance,std,0.20472833366410967
affectivevr,19.0,HP,angle,mean,0.8810511177660173
affectivevr,19.0,HP,angle,std,0.3321532357957761
affectivevr,19.0,LP,valence,mean,0.7737792779207182
affectivevr,19.0,LP,valence,std,0.25461734523916846
affectivevr,19.0,LP,arousal,mean,-0.80290100595334
affectivevr,19.0,LP,arousal,std,0.22346643271567843
affectivevr,19.0,LP,distance,mean,1.17139275535442
affectivevr,19.0,LP,distance,std,0.20120513846499707
affectivevr,19.0,LP,angle,mean,-0.6751239049438139
affectivevr,19.0,LP,angle,std,0.44578408974363687
affectivevr,19.0,LN,valence,mean,0.3205442998027382
affectivevr,19.0,LN,valence,std,0.21310547594672277
affectivevr,19.0,LN,arousal,mean,-0.8179638690133784
affectivevr,19.0,LN,arousal,std,0.07180230830542184
affectivevr,19.0,LN,distance,mean,0.9082234844846665
affectivevr,19.0,LN,distance,std,0.11996190311946654
affectivevr,19.0,LN,angle,mean,-1.1764507672548363
affectivevr,19.0,LN,angle,std,0.22615871581711225
affectivevr,19.0,HN,valence,mean,-0.42487433400453173
affectivevr,19.0,HN,valence,std,0.23571975644228452
affectivevr,19.0,HN,arousal,mean,-0.3303056406061344
affectivevr,19.0,HN,arousal,std,0.30402203549866114
affectivevr,19.0,HN,distance,mean,0.7293791619891298
affectivevr,19.0,HN,distance,std,0.15808217885214496
affectivevr,19.0,HN,angle,mean,-0.9189308531385815
affectivevr,19.0,HN,angle,std,1.8071503818410724
affectivevr,20.0,HP,valence,mean,-0.26330802892789157
affectivevr,20.0,HP,valence,std,0.6231793172052246
affectivevr,20.0,HP,arousal,mean,0.8626851559339995
affectivevr,20.0,HP,arousal,std,0.1286654964020505
affectivevr,20.0,HP,distance,mean,1.15472979554162
affectivevr,20.0,HP,distance,std,0.1424100699065028
affectivevr,20.0,HP,angle,mean,1.8621660863250094
affectivevr,20.0,HP,angle,std,0.5831723185104662
affectivevr,20.0,LP,valence,mean,0.3597836365322367
affectivevr,20.0,LP,valence,std,0.4393224074318843
affectivevr,20.0,LP,arousal,mean,-0.8818543844198562
affectivevr,20.0,LP,arousal,std,0.09897117376790804
affectivevr,20.0,LP,distance,mean,1.0997738915160644
affectivevr,20.0,LP,distance,std,0.1118722864149209
affectivevr,20.0,LP,angle,mean,-1.2633828888589334
affectivevr,20.0,LP,angle,std,0.42847338582886807
affectivevr,20.0,LN,valence,mean,-0.5791404864245928
affectivevr,20.0,LN,valence,std,0.3056251300645401
affectivevr,20.0,LN,arousal,mean,-0.74694347581349
affectivevr,20.0,LN,arousal,std,0.3087507867530455
affectivevr,20.0,LN,distance,mean,1.109411805335163
affectivevr,20.0,LN,distance,std,0.13055545377920627
affectivevr,20.0,LN,angle,mean,-1.8157451357666907
affectivevr,20.0,LN,angle,std,0.8095420205267906
affectivevr,20.0,HN,valence,mean,-0.5623030084309923
affectivevr,20.0,HN,valence,std,0.3293177714553742
affectivevr,20.0,HN,arousal,mean,0.4333525931407034
affectivevr,20.0,HN,arousal,std,0.5044789422711125
affectivevr,20.0,HN,distance,mean,0.9309477987677474
affectivevr,20.0,HN,distance,std,0.25994747044736133
affectivevr,20.0,HN,angle,mean,1.4805041344696377
affectivevr,20.0,HN,angle,std,1.6393945142109398
affectivevr,21.0,HP,valence,mean,0.8149264198265779
affectivevr,21.0,HP,valence,std,0.1668141488539686
affectivevr,21.0,HP,arousal,mean,0.789377716654621
affectivevr,21.0,HP,arousal,std,0.22876891891935433
affectivevr,21.0,HP,distance,mean,1.1593805096288023
affectivevr,21.0,HP,distance,std,0.16498209565112007
affectivevr,21.0,HP,angle,mean,0.7580178284063054
affectivevr,21.0,HP,angle,std,0.21266971342015073
affectivevr,21.0,LP,valence,mean,0.872981205993132
affectivevr,21.0,LP,valence,std,0.07999087347714687
affectivevr,21.0,LP,arousal,mean,0.15421247870980162
affectivevr,21.0,LP,arousal,std,0.28043196770836554
affectivevr,21.0,LP,distance,mean,0.9829250828946544
affectivevr,21.0,LP,distance,std,0.11534303086790086
affectivevr,21.0,LP,angle,mean,0.17818131964708572
affectivevr,21.0,LP,angle,std,0.278958186509685
affectivevr,21.0,LN,valence,mean,0.6073728974639184
affectivevr,21.0,LN,valence,std,0.19890330688502145
affectivevr,21.0,LN,arousal,mean,-0.6200002638909866
affectivevr,21.0,LN,arousal,std,0.23715615382204316
affectivevr,21.0,LN,distance,mean,1.0739965340631068
affectivevr,21.0,LN,distance,std,0.16019618400791044
affectivevr,21.0,LN,angle,mean,-0.8831036386409427
affectivevr,21.0,LN,angle,std,0.33227491468640835
affectivevr,21.0,HN,valence,mean,-0.8594005438146479
affectivevr,21.0,HN,valence,std,0.1769208258201577
affectivevr,21.0,HN,arousal,mean,0.30566199432651
affectivevr,21.0,HN,arousal,std,0.35308988757575527
affectivevr,21.0,HN,distance,mean,1.0601884695233708
affectivevr,21.0,HN,distance,std,0.11919953840714086
affectivevr,21.0,HN,angle,mean,1.153826171973136
affectivevr,21.0,HN,angle,std,1.821062922173305
affectivevr,22.0,HP,valence,mean,0.6730363458050751
affectivevr,22.0,HP,valence,std,0.2093740223791606
affectivevr,22.0,HP,arousal,mean,0.47929787567499327
affectivevr,22.0,HP,arousal,std,0.22921903891976372
affectivevr,22.0,HP,distance,mean,0.9840774569509425
affectivevr,22.0,HP,distance,std,0.15622707566683167
affectivevr,22.0,HP,angle,mean,0.4605512222480546
affectivevr,22.0,HP,angle,std,0.4185875836695565
affectivevr,22.0,LP,valence,mean,0.7307859794288315
affectivevr,22.0,LP,valence,std,0.23622914606498183
affectivevr,22.0,LP,arousal,mean,-0.29118935362802406
affectivevr,22.0,LP,arousal,std,0.19372351939583135
affectivevr,22.0,LP,distance,mean,0.8936118284226371
affectivevr,22.0,LP,distance,std,0.20746519169056
affectivevr,22.0,LP,angle,mean,-0.48247937993245255
affectivevr,22.0,LP,angle,std,0.31497847437361604
affectivevr,22.0,LN,valence,mean,-0.4202558297692711
affectivevr,22.0,LN,valence,std,0.12787327493499942
affectivevr,22.0,LN,arousal,mean,-0.6681920951598338
affectivevr,22.0,LN,arousal,std,0.17148969709842607
affectivevr,22.0,LN,distance,mean,0.8286023872679203
affectivevr,22.0,LN,distance,std,0.18053419318391495
affectivevr,22.0,LN,angle,mean,-2.1288690982768217
affectivevr,22.0,LN,angle,std,0.38480167000819293
affectivevr,22.0,HN,valence,mean,-0.6924335415577904
affectivevr,22.0,HN,valence,std,0.20490750518923093
affectivevr,22.0,HN,arousal,mean,0.3535097576789754
affectivevr,22.0,HN,arousal,std,0.1491032763560286
affectivevr,22.0,HN,distance,mean,0.8140533665298655
affectivevr,22.0,HN,distance,std,0.21800889109214835
affectivevr,22.0,HN,angle,mean,2.490607470157791
affectivevr,22.0,HN,angle,std,0.7286810607605322
affectivevr,23.0,HP,valence,mean,0.6598046656293085
affectivevr,23.0,HP,valence,std,0.18867224731944895
affectivevr,23.0,HP,arousal,mean,0.024992254006252768
affectivevr,23.0,HP,arousal,std,0.40095598745690425
affectivevr,23.0,HP,distance,mean,0.7960788498382297
affectivevr,23.0,HP,distance,std,0.1946931816527222
affectivevr,23.0,HP,angle,mean,0.06300017504220519
affectivevr,23.0,HP,angle,std,0.6417663069396055
affectivevr,23.0,LP,valence,mean,0.5866430378898702
affectivevr,23.0,LP,valence,std,0.22540439209305022
affectivevr,23.0,LP,arousal,mean,-0.8758261853517451
affectivevr,23.0,LP,arousal,std,0.061815097913406135
affectivevr,23.0,LP,distance,mean,1.1039251591821486
affectivevr,23.0,LP,distance,std,0.09655779759365125
affectivevr,23.0,LP,angle,mean,-0.987602294625669
affectivevr,23.0,LP,angle,std,0.21880887272422578
affectivevr,23.0,LN,valence,mean,-0.6773823584406268
affectivevr,23.0,LN,valence,std,0.16723060980582494
affectivevr,23.0,LN,arousal,mean,-0.8739003176187446
affectivevr,23.0,LN,arousal,std,0.09619643094624271
affectivevr,23.0,LN,distance,mean,1.118752231682927
affectivevr,23.0,LN,distance,std,0.12861808493242907
affectivevr,23.0,LN,angle,mean,-2.213815638339074
affectivevr,23.0,LN,angle,std,0.15263466329919304
affectivevr,23.0,HN,valence,mean,-0.8575461016562401
affectivevr,23.0,HN,valence,std,0.15704719777491064
affectivevr,23.0,HN,arousal,mean,-0.5095410469950672
affectivevr,23.0,HN,arousal,std,0.26113317291913424
affectivevr,23.0,HN,distance,mean,1.0389090019662162
affectivevr,23.0,HN,distance,std,0.16253314750236864
affectivevr,23.0,HN,angle,mean,-2.2945240977080474
affectivevr,23.0,HN,angle,std,0.8114130431625713
affectivevr,24.0,HP,valence,mean,0.4721010490688764
affectivevr,24.0,HP,valence,std,0.24157426315337038
affectivevr,24.0,HP,arousal,mean,0.24473206082327245
affectivevr,24.0,HP,arousal,std,0.2618597839190339
affectivevr,24.0,HP,distance,mean,0.7911793823496716
affectivevr,24.0,HP,distance,std,0.16839883065558817
affectivevr,24.0,HP,angle,mean,0.1655820150940677
affectivevr,24.0,HP,angle,std,0.7294871968107118
affectivevr,24.0,LP,valence,mean,0.6968262267466749
