Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	25.5	0.0	[230, 138, 575, 447]	True
beta	Levene	0.56	0.639	[230, 138, 575, 447]	False
frontal_alpha	Barlett	3.29	0.349	[230, 138, 575, 447]	False
frontal_alpha	Levene	2.02	0.109	[230, 138, 575, 447]	False
frontal_theta	Barlett	1.85	0.604	[230, 138, 575, 447]	False
frontal_theta	Levene	1.23	0.298	[230, 138, 575, 447]	False
gamma	Barlett	25.86	0.0	[230, 138, 575, 447]	True
gamma	Levene	0.11	0.954	[230, 138, 575, 447]	False
hf-hrv	Barlett	79.91	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	6.26	0.0	[230, 138, 575, 447]	True
ibi	Barlett	21.84	0.0	[230, 138, 575, 447]	True
ibi	Levene	7.99	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	42.19	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	6.78	0.0	[230, 138, 575, 447]	True
