State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.88	219	0.0	True
0	beta	0.95	219	0.0	True
0	frontal_alpha	0.78	219	0.0	True
0	frontal_theta	0.44	219	0.0	True
0	gamma	0.69	219	0.0	True
0	hf-hrv	0.97	219	0.0	True
0	ibi	0.99	219	0.074	False
0	posterior_alpha	0.69	219	0.0	True
0	valence	0.4	219	0.0	True
1	arousal	0.63	426	0.0	True
1	beta	0.64	426	0.0	True
1	frontal_alpha	0.6	426	0.0	True
1	frontal_theta	0.25	426	0.0	True
1	gamma	0.55	426	0.0	True
1	hf-hrv	0.88	426	0.0	True
1	ibi	0.99	426	0.161	False
1	posterior_alpha	0.49	426	0.0	True
1	valence	0.64	426	0.0	True
2	arousal	0.82	169	0.0	True
2	beta	0.93	169	0.0	True
2	frontal_alpha	0.54	169	0.0	True
2	frontal_theta	0.26	169	0.0	True
2	gamma	0.88	169	0.0	True
2	hf-hrv	0.75	169	0.0	True
2	ibi	0.99	169	0.157	False
2	posterior_alpha	0.62	169	0.0	True
2	valence	0.86	169	0.0	True
3	arousal	0.94	576	0.0	True
3	beta	0.89	576	0.0	True
3	frontal_alpha	0.72	576	0.0	True
3	frontal_theta	0.64	576	0.0	True
3	gamma	0.75	576	0.0	True
3	hf-hrv	0.97	576	0.0	True
3	ibi	0.99	576	0.0	True
3	posterior_alpha	0.68	576	0.0	True
3	valence	0.56	576	0.0	True
