State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.8	278	0.0	True
0	frontal_alpha	0.92	278	0.0	True
0	frontal_theta	0.92	278	0.0	True
0	gamma	0.75	278	0.0	True
0	posterior_alpha	0.93	278	0.0	True
1	beta	0.71	358	0.0	True
1	frontal_alpha	0.85	358	0.0	True
1	frontal_theta	0.92	358	0.0	True
1	gamma	0.72	358	0.0	True
1	posterior_alpha	0.77	358	0.0	True
2	beta	0.62	117	0.0	True
2	frontal_alpha	0.91	117	0.0	True
2	frontal_theta	0.77	117	0.0	True
2	gamma	0.71	117	0.0	True
2	posterior_alpha	0.96	117	0.001	True
3	beta	0.73	637	0.0	True
3	frontal_alpha	0.91	637	0.0	True
3	frontal_theta	0.94	637	0.0	True
3	gamma	0.72	637	0.0	True
3	posterior_alpha	0.87	637	0.0	True
