Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	494.56	0.0	[230, 138, 575, 447]	True
beta	Levene	3.18	0.023	[230, 138, 575, 447]	True
frontal_alpha	Barlett	128.11	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	3.31	0.019	[230, 138, 575, 447]	True
frontal_theta	Barlett	28.81	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	1.83	0.139	[230, 138, 575, 447]	False
gamma	Barlett	1008.64	0.0	[230, 138, 575, 447]	True
gamma	Levene	2.23	0.083	[230, 138, 575, 447]	False
hf-hrv	Barlett	586.43	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	103.19	0.0	[230, 138, 575, 447]	True
ibi	Barlett	496.02	0.0	[230, 138, 575, 447]	True
ibi	Levene	37.44	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	131.47	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	1.45	0.225	[230, 138, 575, 447]	False
