test	t-value	df	p-value	significance
Wilks' lambda	-18.77348774710925	38.0	8.063763818193569e-21	True
Pillai's trace	-50.44197525423827	38.0	1.99394342864031e-36	True
Hotelling-Lawley trace	-44.08547715526853	38.0	3.0624072024018493e-34	True
Roy's greatest root	-44.08547715526853	38.0	3.0624072024018493e-34	True
