test	t-value	df	p-value	significance
Wilks' lambda	202.415137298766	38.0	3.022650399478534e-59	True
Pillai's trace	20.11909354854348	38.0	7.345432084375003e-22	True
Hotelling-Lawley trace	17.475451715230257	38.0	9.315488648240733e-20	True
Roy's greatest root	17.475451715230257	38.0	9.315488648240733e-20	True
