Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	381.71	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	48.06	0.0	[310, 342, 409, 331]	True
ibi	Barlett	48.72	0.0	[310, 342, 409, 331]	True
ibi	Levene	10.25	0.0	[310, 342, 409, 331]	True
