State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.92	219	0.0	True
0	beta	0.72	219	0.0	True
0	frontal_alpha	0.82	219	0.0	True
0	frontal_theta	0.93	219	0.0	True
0	gamma	0.61	219	0.0	True
0	hf-hrv	0.98	219	0.007	True
0	ibi	0.98	219	0.014	True
0	posterior_alpha	0.71	219	0.0	True
0	valence	0.75	219	0.0	True
1	arousal	0.96	426	0.0	True
1	beta	0.38	426	0.0	True
1	frontal_alpha	0.67	426	0.0	True
1	frontal_theta	0.81	426	0.0	True
1	gamma	0.49	426	0.0	True
1	hf-hrv	0.99	426	0.002	True
1	ibi	1.0	426	0.24	False
1	posterior_alpha	0.42	426	0.0	True
1	valence	0.89	426	0.0	True
2	arousal	0.9	169	0.0	True
2	beta	0.58	169	0.0	True
2	frontal_alpha	0.86	169	0.0	True
2	frontal_theta	0.83	169	0.0	True
2	gamma	0.49	169	0.0	True
2	hf-hrv	0.99	169	0.088	False
2	ibi	0.99	169	0.761	False
2	posterior_alpha	0.45	169	0.0	True
2	valence	0.84	169	0.0	True
3	arousal	0.89	576	0.0	True
3	beta	0.53	576	0.0	True
3	frontal_alpha	0.67	576	0.0	True
3	frontal_theta	0.89	576	0.0	True
3	gamma	0.6	576	0.0	True
3	hf-hrv	0.99	576	0.024	True
3	ibi	0.99	576	0.001	True
3	posterior_alpha	0.89	576	0.0	True
3	valence	0.81	576	0.0	True
