State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.73	278	0.0	True
0	frontal_alpha	0.92	278	0.0	True
0	frontal_theta	0.97	278	0.0	True
0	gamma	0.72	278	0.0	True
0	posterior_alpha	0.92	278	0.0	True
1	beta	0.95	358	0.0	True
1	frontal_alpha	0.97	358	0.0	True
1	frontal_theta	0.98	358	0.0	True
1	gamma	0.93	358	0.0	True
1	posterior_alpha	0.91	358	0.0	True
2	beta	0.76	117	0.0	True
2	frontal_alpha	0.84	117	0.0	True
2	frontal_theta	0.96	117	0.001	True
2	gamma	0.66	117	0.0	True
2	posterior_alpha	0.77	117	0.0	True
3	beta	0.66	637	0.0	True
3	frontal_alpha	0.96	637	0.0	True
3	frontal_theta	0.95	637	0.0	True
3	gamma	0.51	637	0.0	True
3	posterior_alpha	0.93	637	0.0	True
