Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	1105.87	0.0	[230, 138, 575, 447]	True
beta	Levene	28.9	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	154.53	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	5.33	0.001	[230, 138, 575, 447]	True
frontal_theta	Barlett	499.15	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	4.22	0.006	[230, 138, 575, 447]	True
gamma	Barlett	876.21	0.0	[230, 138, 575, 447]	True
gamma	Levene	43.06	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	393.19	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	25.69	0.0	[230, 138, 575, 447]	True
ibi	Barlett	32.65	0.0	[230, 138, 575, 447]	True
ibi	Levene	6.17	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	514.86	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	7.62	0.0	[230, 138, 575, 447]	True
