State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.21	230	0.0	True
0	frontal_alpha	0.79	230	0.0	True
0	frontal_theta	0.74	230	0.0	True
0	gamma	0.22	230	0.0	True
0	hf-hrv	0.58	230	0.0	True
0	ibi	0.94	230	0.0	True
0	posterior_alpha	0.77	230	0.0	True
1	beta	0.53	138	0.0	True
1	frontal_alpha	0.67	138	0.0	True
1	frontal_theta	0.9	138	0.0	True
1	gamma	0.27	138	0.0	True
1	hf-hrv	0.72	138	0.0	True
1	ibi	0.94	138	0.0	True
1	posterior_alpha	0.82	138	0.0	True
2	beta	0.52	575	0.0	True
2	frontal_alpha	0.82	575	0.0	True
2	frontal_theta	0.84	575	0.0	True
2	gamma	0.59	575	0.0	True
2	hf-hrv	0.58	575	0.0	True
2	ibi	0.99	575	0.0	True
2	posterior_alpha	0.73	575	0.0	True
3	beta	0.87	447	0.0	True
3	frontal_alpha	0.94	447	0.0	True
3	frontal_theta	0.9	447	0.0	True
3	gamma	0.71	447	0.0	True
3	hf-hrv	0.97	447	0.0	True
3	ibi	0.99	447	0.0	True
3	posterior_alpha	0.92	447	0.0	True
