Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	202.55	0.0	[230, 138, 575, 447]	True
beta	Levene	28.41	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	189.06	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	25.85	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	8.97	0.03	[230, 138, 575, 447]	True
frontal_theta	Levene	1.11	0.346	[230, 138, 575, 447]	False
gamma	Barlett	260.76	0.0	[230, 138, 575, 447]	True
gamma	Levene	15.84	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	196.17	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	27.06	0.0	[230, 138, 575, 447]	True
ibi	Barlett	5.95	0.114	[230, 138, 575, 447]	False
ibi	Levene	2.7	0.044	[230, 138, 575, 447]	True
posterior_alpha	Barlett	135.16	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	26.67	0.0	[230, 138, 575, 447]	True
