State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.86	230	0.0	True
0	frontal_alpha	0.85	230	0.0	True
0	frontal_theta	0.96	230	0.0	True
0	gamma	0.78	230	0.0	True
0	hf-hrv	0.88	230	0.0	True
0	ibi	0.98	230	0.005	True
0	posterior_alpha	0.89	230	0.0	True
1	beta	0.93	138	0.0	True
1	frontal_alpha	0.76	138	0.0	True
1	frontal_theta	0.95	138	0.0	True
1	gamma	0.85	138	0.0	True
1	hf-hrv	0.91	138	0.0	True
1	ibi	0.97	138	0.001	True
1	posterior_alpha	0.81	138	0.0	True
2	beta	0.84	575	0.0	True
2	frontal_alpha	0.83	575	0.0	True
2	frontal_theta	0.95	575	0.0	True
2	gamma	0.6	575	0.0	True
2	hf-hrv	0.96	575	0.0	True
2	ibi	0.98	575	0.0	True
2	posterior_alpha	0.85	575	0.0	True
3	beta	0.83	447	0.0	True
3	frontal_alpha	0.85	447	0.0	True
3	frontal_theta	0.91	447	0.0	True
3	gamma	0.53	447	0.0	True
3	hf-hrv	0.99	447	0.014	True
3	ibi	0.96	447	0.0	True
3	posterior_alpha	0.81	447	0.0	True
