State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.87	230	0.0	True
0	frontal_alpha	0.61	230	0.0	True
0	frontal_theta	0.57	230	0.0	True
0	gamma	0.42	230	0.0	True
0	hf-hrv	0.91	230	0.0	True
0	ibi	0.99	230	0.217	False
0	posterior_alpha	0.61	230	0.0	True
1	beta	0.85	138	0.0	True
1	frontal_alpha	0.51	138	0.0	True
1	frontal_theta	0.54	138	0.0	True
1	gamma	0.66	138	0.0	True
1	hf-hrv	0.91	138	0.0	True
1	ibi	0.99	138	0.172	False
1	posterior_alpha	0.48	138	0.0	True
2	beta	0.76	575	0.0	True
2	frontal_alpha	0.33	575	0.0	True
2	frontal_theta	0.39	575	0.0	True
2	gamma	0.39	575	0.0	True
2	hf-hrv	0.98	575	0.0	True
2	ibi	0.98	575	0.0	True
2	posterior_alpha	0.33	575	0.0	True
3	beta	0.85	447	0.0	True
3	frontal_alpha	0.6	447	0.0	True
3	frontal_theta	0.86	447	0.0	True
3	gamma	0.5	447	0.0	True
3	hf-hrv	0.86	447	0.0	True
3	ibi	0.99	447	0.001	True
3	posterior_alpha	0.57	447	0.0	True
