Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	63.33	0.0	[230, 138, 575, 447]	True
beta	Levene	6.57	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	531.43	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	10.19	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	527.87	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	8.76	0.0	[230, 138, 575, 447]	True
gamma	Barlett	72.52	0.0	[230, 138, 575, 447]	True
gamma	Levene	0.52	0.671	[230, 138, 575, 447]	False
hf-hrv	Barlett	362.47	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	54.38	0.0	[230, 138, 575, 447]	True
ibi	Barlett	26.99	0.0	[230, 138, 575, 447]	True
ibi	Levene	7.41	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	474.05	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	8.9	0.0	[230, 138, 575, 447]	True
