rating_method,quadrant,cr_mean_v,cr_mean_a,cr_mean_dist,cr_mean_angle,cr_std_v,cr_std_a,cr_std_dist,cr_std_angle,cr_skew_v,cr_skew_a,cr_skew_dist,cr_skew_angle,cr_kurtosis_v,cr_kurtosis_a,cr_kurtosis_dist,cr_kurtosis_angle,cr_auc_v,cr_auc_a,cr_auc_dist,cr_auc_angle
Grid,HP,0.23095580514913114,0.5142948889713669,0.836537878858496,1.0328720711191055,0.5730116038829991,0.36110821264697873,0.27721241894811843,1.020317150651928,-0.6752317342000526,-0.6752317342000526,-0.0580792050151169,-0.933683296909184,-0.809013872864881,-0.809013872864881,-0.4625442265220516,2.7644481795479585,12922.832735555141,12922.832735555141,46808.50577786415,57794.540256301894
Grid,LP,0.5755194148185646,-0.16773651582474633,0.8021315840178275,-0.20069422170074797,0.34029013958846216,0.507748511568777,0.29931501039973357,0.9144794235107562,-1.2562815056032357,-1.2562815056032357,-0.2435452710398287,0.5446056487589174,1.4358844206067762,1.4358844206067762,-0.32108499943156543,1.7584610358386783,31413.206243606255,31413.206243606255,43782.37391463346,-10954.533924868405
Grid,LN,-0.3071041749973889,-0.30207767146715586,0.6882496975848975,-0.9257036033310129,0.39266733930681585,0.45934915314708497,0.27766234772754533,1.9873132511493385,0.7000477941096699,0.7000477941096699,-0.1759773063781529,0.9931286410289484,0.3548925425092908,0.3548925425092908,-0.8975812005045425,-0.640571881437928,-17156.37478318822,-17156.37478318822,38448.527724992775,-51713.2476816201
Grid,HN,-0.6032416000816644,0.4264042545636717,0.8518306046395289,1.709195782788548,0.3385666736047334,0.4077413862734511,0.3179359957723898,1.71293292737698,1.1728387080754912,1.1728387080754912,-0.28042620853021927,-1.9397092720215074,1.2236742181579938,1.2236742181579938,-0.7132515711164227,2.17288661977725,-32831.40655657128,-32831.40655657128,46360.93251471348,93024.43157090369
Flubber,HP,0.40944262354839334,0.5521696573017247,1.0746218290760297,0.8573528956243724,0.6979137319428452,0.511138859723395,0.2571631014287314,1.0575827185177331,-0.8233019389112499,-0.8233019389112499,-1.1784141050440307,-0.6084518347162498,-0.8018206161058705,-0.8018206161058705,1.7320852009152468,1.4191454569590851,22989.785933165833,22989.785933165833,60339.79736687604,48140.342137692736
Flubber,LP,0.7433130125998735,-0.6241012859115178,1.1604442237694845,-0.6846805840539257,0.42289063968717716,0.5179948480967476,0.20633892578085367,0.6761213919346422,-2.4133789865761606,-2.4133789865761606,-1.1457038831014004,0.10597101970224937,6.151579056638885,6.151579056638885,2.364648529873893,3.307911306243051,40452.345173972906,40452.345173972906,63153.773302452304,-37261.99637767531
Flubber,LN,-0.3133618454303369,-0.7017792913270746,1.0692145531532842,-1.3902483285048082,0.5933491381294382,0.4967535270432165,0.2152627647936427,1.4376395126333863,0.563695358914756,0.563695358914756,-0.9824458951758521,1.8835672783492627,-0.6871992803208551,-0.6871992803208551,1.9099858174383595,2.802779125514128,-17328.53677598849,-17328.53677598849,59128.56345612886,-76880.85433642466
Flubber,HN,-0.7220724125994326,0.31061228233669047,1.0725958889743394,0.9212477319046097,0.42980023943989404,0.6349725161999926,0.235396195704901,2.273272528431193,1.9745376627359008,1.9745376627359008,-1.4140194231327967,-0.819782257608624,3.528349572228122,3.528349572228122,3.0956124220506744,-1.1416093744099112,-40470.4366537856,-40470.4366537856,60116.68246512556,51632.45289250812
Proprioceptive,HP,0.3918920001192474,0.5033026884730948,1.0793362576401437,0.8097031280027919,0.7270830311240857,0.5371825928213371,0.24352126838529733,1.1676491405433924,-0.8571184662870803,-0.8571184662870803,-1.1447434344693237,-0.5810900248523385,-0.8255920824823093,-0.8255920824823093,2.123235485201211,1.2837180731194326,21923.7568202213,21923.7568202213,60382.24029184019,45297.80094716722
Proprioceptive,LP,0.7611007982019701,-0.3791607710379481,1.0834340093917,-0.43925438158256297,0.3716772306870392,0.6051766510010456,0.23191358124153655,0.7412871918098948,-1.806435505784034,-1.806435505784034,-1.4473194664450326,0.12923295663918447,3.143711594111912,3.143711594111912,3.8137580266145275,0.8516295365985633,41564.23679140599,41564.23679140599,59167.42423146526,-23988.587290850755
Proprioceptive,LN,-0.45621241329023177,-0.6552648714755841,1.0673490208891463,-1.509669288943518,0.5780628679824675,0.4951064109231101,0.2786487460269269,1.500750039525829,1.023706719965673,1.023706719965673,-1.2382431772151594,1.925381463706754,0.08869353108841871,0.08869353108841871,1.540343303869319,2.7930835820339617,-25405.529284406883,-25405.529284406883,59437.46010690187,-84069.01710032672
Proprioceptive,HN,-0.6439245074666282,0.3280992080223886,1.0333615365523054,1.0327391720608552,0.4749183579492691,0.6269007122742786,0.2704675942533812,2.144766780276913,1.611499887271015,1.611499887271015,-1.0626482353306101,-0.9417305835067225,2.13531715836794,2.13531715836794,0.7575947424866527,-0.8620572570116334,-35805.84192812715,-35805.84192812715,57460.943678922646,57425.13169689209
