State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.91	219	0.0	True
0	beta	0.87	219	0.0	True
0	frontal_alpha	0.82	219	0.0	True
0	frontal_theta	0.96	219	0.0	True
0	gamma	0.85	219	0.0	True
0	hf-hrv	0.97	219	0.001	True
0	ibi	0.99	219	0.455	False
0	posterior_alpha	0.58	219	0.0	True
0	valence	0.76	219	0.0	True
1	arousal	0.9	426	0.0	True
1	beta	0.74	426	0.0	True
1	frontal_alpha	0.74	426	0.0	True
1	frontal_theta	0.94	426	0.0	True
1	gamma	0.71	426	0.0	True
1	hf-hrv	0.91	426	0.0	True
1	ibi	0.98	426	0.0	True
1	posterior_alpha	0.55	426	0.0	True
1	valence	0.74	426	0.0	True
2	arousal	0.94	169	0.0	True
2	beta	0.75	169	0.0	True
2	frontal_alpha	0.86	169	0.0	True
2	frontal_theta	0.89	169	0.0	True
2	gamma	0.81	169	0.0	True
2	hf-hrv	0.9	169	0.0	True
2	ibi	0.99	169	0.445	False
2	posterior_alpha	0.67	169	0.0	True
2	valence	0.86	169	0.0	True
3	arousal	0.88	576	0.0	True
3	beta	0.86	576	0.0	True
3	frontal_alpha	0.88	576	0.0	True
3	frontal_theta	0.96	576	0.0	True
3	gamma	0.77	576	0.0	True
3	hf-hrv	0.97	576	0.0	True
3	ibi	1.0	576	0.306	False
3	posterior_alpha	0.76	576	0.0	True
3	valence	0.82	576	0.0	True
