timestamp	ibi	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	gamma	beta	state
0	-0.0682370457100611	1.5694064070258031	-0.4754888030870996	-0.4915685059060753	-0.26765913650470674	-0.12888008485877137	-0.7393033161095656	1
1	-0.0682370457100611	1.543285069768999	-0.4498809679471069	-0.6092611247547466	-0.5352604449678625	-0.23848447428364347	-0.7555836373116482	1
2	0.9239410796429914	1.4639987492821527	-0.08697588273321094	-0.07112165883436862	-1.2563881911067087	-0.3732977630140322	-0.7128331767876702	1
3	0.49506501068109093	1.3345572010007736	-0.048203301525573006	-0.002512653995245213	-0.5648128058201066	-0.39353135684618373	-0.6866906329920408	1
4	0.15790138413151283	1.1674292116733678	-0.26062390355052123	-0.4135567595273689	0.657040068851334	-0.4467979093207144	-0.7954742925589693	1
5	0.06584776266295961	0.9856679012793103	-0.0570161354653565	0.1068440472520571	0.4242424862468425	-0.49152826281065104	-0.7562901310890904	1
6	0.12705602073877317	0.8218032107679818	0.06793526360196836	0.22128824590422577	-0.21868535343796647	-0.4466243340953005	-0.6706817117044366	1
7	0.035221297110717364	0.7018214862580094	-0.09537287884862926	-0.039746164971955565	-0.5202192058575722	-0.4201475036796409	-0.6413428061888813	1
8	0.21887287515535755	0.6311791032693196	-0.21177760701249515	-0.11967425226915389	0.13994590377418678	-0.39700608576773105	-0.6864610268016498	1
9	0.3109130947153102	0.6066141725741776	-0.13962770280179176	-0.12150744916601712	0.8237345490528624	-0.35094392091861915	-0.3816920156517848	1
10	0.49469869184597165	0.6247675844051032	-0.14403611334501143	0.03576554297877001	0.5522850401110777	-0.2747668057647342	0.07234005303475374	1
11	0.6173743115639014	0.6789975250415329	-0.14893067966434592	0.08108215862180086	0.7635433554708047	-0.29478941038037415	-0.06664956150335383	1
12	0.9541984230955666	0.7593417710582254	0.0172212086994664	0.31922718089509317	0.03372646863755405	-0.313955357626673	-0.2403032572540538	1
13	1.046537951947627	0.8569238552311176	0.15608300969940728	0.5271461730343888	-1.0629510675040161	-0.19952483885287192	-0.2361856234021571	1
14	0.8019372193934741	0.9707354703574305	0.046074256390283175	0.09638901205129156	-0.6072843224144094	-0.14014823277575844	-0.26606515390724367	1
15	0.342611712955704	1.0977362742400048	-0.003341697537679939	-0.06732589169877691	-0.3018753920149885	-0.21464359934352042	-0.2597236355630286	1
16	0.7087086972708201	1.220886112372088	-0.06366180745153643	0.08658942477642471	1.6758532157260508	-0.27340348795517533	-0.2961427296246365	1
17	0.526022056645513	1.3229825075464796	-0.16069024799429185	-0.04943755420014614	2.2039511964955247	-0.2556001576261733	-0.11050007902227767	1
18	-0.08595330884380091	1.398840249174404	-0.10930587690332098	-0.1892167634168369	0.8374234686659673	-0.260723115245487	-0.034590802094275806	1
19	-1.1269493610250876	1.4498625814620905	0.06896096351139905	0.03103331948873702	0.6907499384430229	-0.24508996251843654	-0.24699150467075504	1
20	-0.7322942723852894	1.4708592520754364	0.3005403228761957	0.3048773255188853	0.8281219877740498	-0.18065808143924314	-0.08713311494253223	1
21	0.552493930531167	1.4527374695003916	0.31840747349288034	0.43200173492877175	0.4894394502026274	-0.20645412181268183	-0.28931445776449816	1
22	1.8703030733367432	1.3918933049514364	0.023182539810505727	0.10290609482706378	-0.17270749632495813	-0.27037473745055024	-0.5283833126247038	1
23	2.1187769574768427	1.2889059426675877	-0.318304525782856	-0.628683993049836	-0.2286283632055025	-0.33122164030579015	-0.4641285881925272	1
24	1.7835074673430018	1.1490929645227492	-0.2031834304199441	-0.459844609209944	2.0142333661795444	-0.36567956039042726	-0.5907634737777844	1
25	0.8659956166986247	0.9838138620891481	-0.11829682109487791	-0.2175953288505855	2.001510912364187	-0.3333318934181905	-0.4791387981815808	1
26	-0.2978011396808782	0.8077386833353019	-0.2709533075404625	-0.35171376678557853	-0.9167091719008181	-0.269343387306735	-0.3686343243296071	1
27	-0.485267794374192	0.6302122338406503	-0.23106711014466402	-0.31510998956376546	-0.33843453278086605	-0.12135502595971392	-0.05329312620031265	1
28	-0.08904021512510506	0.45622994611641854	-0.11969810961470323	-0.12597335947925495	0.3282981538188411	0.023951003558839185	0.23797623143336838	1
29	0.1262251024054545	0.30268353367122863	-0.20618798168141736	-0.2958901877108096	-0.42124528680637524	0.0960088273851629	-0.28413306055494963	1
30	0.12710069376744582	0.18502506042746608	-0.36287237461954913	-0.6930001579779126	-0.38559696224374307	-0.13284432016832504	-0.7838296583285791	1
31	-0.6358805633182528	0.09714648176580729	-0.21630585987832368	-0.11250014857773598	-0.05569589719890303	-0.344510593526584	-0.6616857934083926	1
32	-0.36459799364368	0.03261650381634622	-0.23264613444514343	-0.15173004299449633	0.04157318568565871	-0.3490214423066599	-0.781569880890105	1
33	-0.3633516161437037	-0.018719513119434632	-0.24594684857159305	-0.48446418311596556	0.00012546984269001918	-0.3600151055099292	-0.9063614965920148	1
34	0.12474195785351277	-0.07187919168217333	-0.0880687885752745	-0.07209047099240312	-0.20678677312258611	-0.3764930913660496	-0.814774806979574	1
35	0.00509516947961057	-0.12811156391346384	-0.22291038811526653	-0.2917364759434863	0.2121429661373034	-0.405812013956124	-0.6153828590012241	1
