Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	239.15	0.0	[230, 138, 575, 447]	True
beta	Levene	10.34	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	22.98	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	1.39	0.246	[230, 138, 575, 447]	False
frontal_theta	Barlett	8.63	0.035	[230, 138, 575, 447]	True
frontal_theta	Levene	2.02	0.11	[230, 138, 575, 447]	False
gamma	Barlett	373.5	0.0	[230, 138, 575, 447]	True
gamma	Levene	9.52	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	126.82	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	14.56	0.0	[230, 138, 575, 447]	True
ibi	Barlett	26.39	0.0	[230, 138, 575, 447]	True
ibi	Levene	6.36	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	65.83	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	9.02	0.0	[230, 138, 575, 447]	True
