Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	102.59	0.0	[463, 370, 264, 296]	True
arousal	Levene	36.7	0.0	[463, 370, 264, 296]	True
valence	Barlett	115.94	0.0	[463, 370, 264, 296]	True
valence	Levene	54.46	0.0	[463, 370, 264, 296]	True
