State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.98	454	0.0	True
0	frontal_alpha	0.95	454	0.0	True
0	frontal_theta	0.99	454	0.0	True
0	gamma	0.97	454	0.0	True
0	posterior_alpha	0.96	454	0.0	True
1	beta	0.99	229	0.044	True
1	frontal_alpha	0.98	229	0.001	True
1	frontal_theta	0.95	229	0.0	True
1	gamma	0.99	229	0.309	False
1	posterior_alpha	0.94	229	0.0	True
2	beta	0.98	175	0.008	True
2	frontal_alpha	0.92	175	0.0	True
2	frontal_theta	0.87	175	0.0	True
2	gamma	0.88	175	0.0	True
2	posterior_alpha	0.84	175	0.0	True
3	beta	1.0	532	0.806	False
3	frontal_alpha	0.99	532	0.0	True
3	frontal_theta	0.98	532	0.0	True
3	gamma	0.99	532	0.002	True
3	posterior_alpha	0.98	532	0.0	True
