Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	19.16	0.0	[278, 358, 117, 637]	True
beta	Levene	4.1	0.007	[278, 358, 117, 637]	True
frontal_alpha	Barlett	75.34	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	5.35	0.001	[278, 358, 117, 637]	True
frontal_theta	Barlett	14.36	0.002	[278, 358, 117, 637]	True
frontal_theta	Levene	1.67	0.172	[278, 358, 117, 637]	False
gamma	Barlett	66.8	0.0	[278, 358, 117, 637]	True
gamma	Levene	5.55	0.001	[278, 358, 117, 637]	True
posterior_alpha	Barlett	172.53	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	10.12	0.0	[278, 358, 117, 637]	True
