State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.45	230	0.0	True
0	frontal_alpha	0.63	230	0.0	True
0	frontal_theta	0.92	230	0.0	True
0	gamma	0.45	230	0.0	True
0	hf-hrv	0.95	230	0.0	True
0	ibi	0.98	230	0.001	True
0	posterior_alpha	0.58	230	0.0	True
1	beta	0.44	138	0.0	True
1	frontal_alpha	0.74	138	0.0	True
1	frontal_theta	0.96	138	0.0	True
1	gamma	0.36	138	0.0	True
1	hf-hrv	0.97	138	0.002	True
1	ibi	0.98	138	0.044	True
1	posterior_alpha	0.79	138	0.0	True
2	beta	0.76	575	0.0	True
2	frontal_alpha	0.74	575	0.0	True
2	frontal_theta	0.88	575	0.0	True
2	gamma	0.75	575	0.0	True
2	hf-hrv	0.95	575	0.0	True
2	ibi	0.99	575	0.0	True
2	posterior_alpha	0.84	575	0.0	True
3	beta	0.29	447	0.0	True
3	frontal_alpha	0.71	447	0.0	True
3	frontal_theta	0.95	447	0.0	True
3	gamma	0.21	447	0.0	True
3	hf-hrv	0.98	447	0.0	True
3	ibi	0.99	447	0.0	True
3	posterior_alpha	0.83	447	0.0	True
