Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	176.32	0.0	[230, 138, 575, 447]	True
beta	Levene	1.6	0.187	[230, 138, 575, 447]	False
frontal_alpha	Barlett	7.86	0.049	[230, 138, 575, 447]	True
frontal_alpha	Levene	0.69	0.557	[230, 138, 575, 447]	False
frontal_theta	Barlett	5.66	0.129	[230, 138, 575, 447]	False
frontal_theta	Levene	0.53	0.661	[230, 138, 575, 447]	False
gamma	Barlett	336.77	0.0	[230, 138, 575, 447]	True
gamma	Levene	0.61	0.611	[230, 138, 575, 447]	False
hf-hrv	Barlett	5.79	0.122	[230, 138, 575, 447]	False
hf-hrv	Levene	2.33	0.073	[230, 138, 575, 447]	False
ibi	Barlett	21.85	0.0	[230, 138, 575, 447]	True
ibi	Levene	7.35	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	113.52	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	4.26	0.005	[230, 138, 575, 447]	True
