Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	149.57	0.0	[230, 138, 575, 447]	True
beta	Levene	12.43	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	31.76	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	3.02	0.029	[230, 138, 575, 447]	True
frontal_theta	Barlett	3.29	0.349	[230, 138, 575, 447]	False
frontal_theta	Levene	2.34	0.072	[230, 138, 575, 447]	False
gamma	Barlett	167.04	0.0	[230, 138, 575, 447]	True
gamma	Levene	13.61	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	286.72	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	6.39	0.0	[230, 138, 575, 447]	True
ibi	Barlett	8.87	0.031	[230, 138, 575, 447]	True
ibi	Levene	3.81	0.01	[230, 138, 575, 447]	True
posterior_alpha	Barlett	61.74	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	4.65	0.003	[230, 138, 575, 447]	True
