State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.58	219	0.0	True
0	beta	0.97	219	0.0	True
0	frontal_alpha	0.79	219	0.0	True
0	frontal_theta	0.73	219	0.0	True
0	gamma	0.95	219	0.0	True
0	hf-hrv	0.95	219	0.0	True
0	ibi	0.98	219	0.005	True
0	posterior_alpha	0.73	219	0.0	True
0	valence	0.87	219	0.0	True
1	arousal	0.84	426	0.0	True
1	beta	0.79	426	0.0	True
1	frontal_alpha	0.74	426	0.0	True
1	frontal_theta	0.75	426	0.0	True
1	gamma	0.71	426	0.0	True
1	hf-hrv	0.9	426	0.0	True
1	ibi	0.94	426	0.0	True
1	posterior_alpha	0.67	426	0.0	True
1	valence	0.69	426	0.0	True
2	arousal	0.69	169	0.0	True
2	beta	0.8	169	0.0	True
2	frontal_alpha	0.82	169	0.0	True
2	frontal_theta	0.63	169	0.0	True
2	gamma	0.65	169	0.0	True
2	hf-hrv	0.9	169	0.0	True
2	ibi	0.94	169	0.0	True
2	posterior_alpha	0.8	169	0.0	True
2	valence	0.8	169	0.0	True
3	arousal	0.55	576	0.0	True
3	beta	0.95	576	0.0	True
3	frontal_alpha	0.75	576	0.0	True
3	frontal_theta	0.76	576	0.0	True
3	gamma	0.9	576	0.0	True
3	hf-hrv	0.96	576	0.0	True
3	ibi	0.99	576	0.0	True
3	posterior_alpha	0.66	576	0.0	True
3	valence	0.91	576	0.0	True
