subject	test	value	num_df	den_df	F	p-value	significance
001	Wilks' lambda	0.9748983890750723	2	1390.0	17.894808103412856	2.1220234027955078e-08	True
001	Pillai's trace	0.02510161092492766	2.0	1390.0	17.894808103412835	2.1220234027955078e-08	True
001	Hotelling-Lawley trace	0.025747925328651562	2	1389.999999999976	17.894808103412835	2.1220234027936003e-08	True
001	Roy's greatest root	0.025747925328651562	2	1390	17.894808103412835	2.1220234027955078e-08	True
002	Wilks' lambda	0.9948312668591264	2	1390.0	3.610933484477882	0.027280438042843497	True
002	Pillai's trace	0.005168733140873613	2.0	1390.0	3.610933484477872	0.027280438042843497	True
002	Hotelling-Lawley trace	0.005195587747450176	2	1389.999999999976	3.6109334844778727	0.02728043804281878	True
002	Roy's greatest root	0.005195587747450176	2	1390	3.6109334844778727	0.027280438042843497	True
003	Wilks' lambda	0.9689952667512605	2	1390.0	22.237765598297177	3.1156644777471706e-10	True
003	Pillai's trace	0.031004733248739508	2.0	1390.0	22.23776559829716	3.1156644777471706e-10	True
003	Hotelling-Lawley trace	0.03199678503352109	2	1389.999999999976	22.237765598297155	3.1156644777443147e-10	True
003	Roy's greatest root	0.03199678503352109	2	1390	22.237765598297155	3.1156644777471706e-10	True
004	Wilks' lambda	0.9914588197164307	2	1390.0	5.987258551775734	0.0025757453895177158	True
004	Pillai's trace	0.008541180283569365	2.0	1390.0	5.987258551775767	0.0025757453895177158	True
004	Hotelling-Lawley trace	0.008614760506152183	2	1389.999999999976	5.987258551775768	0.0025757453895152794	True
004	Roy's greatest root	0.008614760506152183	2	1390	5.987258551775768	0.0025757453895177158	True
005	Wilks' lambda	0.990659391484617	2	1390.0	6.55293128394269	0.0014703844727414	True
005	Pillai's trace	0.009340608515382995	2.0	1390.0	6.552931283942697	0.0014703844727414	True
005	Hotelling-Lawley trace	0.009428678106392368	2	1389.999999999976	6.552931283942696	0.0014703844727400066	True
005	Roy's greatest root	0.009428678106392368	2	1390	6.552931283942696	0.0014703844727414	True
006	Wilks' lambda	0.9938686531886519	2	1390.0	4.28757464099037	0.013920351253261952	True
006	Pillai's trace	0.006131346811348041	2.0	1390.0	4.287574640990341	0.013920351253261952	True
006	Hotelling-Lawley trace	0.006169172145309844	2	1389.999999999976	4.287574640990342	0.013920351253249724	True
006	Roy's greatest root	0.006169172145309844	2	1390	4.287574640990341	0.013920351253261952	True
007	Wilks' lambda	0.9839895814292792	2	1390.0	11.308291385045226	1.3439947552829482e-05	True
007	Pillai's trace	0.016010418570720806	2.0	1390.0	11.308291385045209	1.3439947552829482e-05	True
007	Hotelling-Lawley trace	0.016270922856180158	2	1389.999999999976	11.308291385045209	1.3439947552818022e-05	True
007	Roy's greatest root	0.016270922856180158	2	1390	11.30829138504521	1.3439947552829482e-05	True
009	Wilks' lambda	0.9996898089445784	2	1390.0	0.2156496761186673	0.8060445811862631	False
009	Pillai's trace	0.0003101910554216779	2.0	1390.0	0.21564967611870273	0.8060445811862631	False
009	Hotelling-Lawley trace	0.00031028730376791763	2	1389.999999999976	0.21564967611870275	0.8060445811864392	False
009	Roy's greatest root	0.00031028730376791763	2	1390	0.21564967611870275	0.8060445811862631	False
012	Wilks' lambda	0.9581758983276046	2	1390.0	30.336549597051523	1.2718724749832213e-13	True
012	Pillai's trace	0.04182410167239533	2.0	1390.0	30.3365495970515	1.2718724749832213e-13	True
012	Hotelling-Lawley trace	0.04364971165043381	2	1389.999999999976	30.336549597051498	1.2718724749821277e-13	True
012	Roy's greatest root	0.04364971165043381	2	1390	30.336549597051498	1.2718724749832213e-13	True
014	Wilks' lambda	0.9139644487308337	2	1390.0	65.42345078641057	7.012381546017923e-28	True
014	Pillai's trace	0.08603555126916633	2.0	1390.0	65.4234507864106	7.012381546016777e-28	True
014	Hotelling-Lawley trace	0.09413446156318073	2	1389.999999999976	65.42345078641061	7.012381546011047e-28	True
014	Roy's greatest root	0.09413446156318073	2	1390	65.42345078641061	7.012381546016777e-28	True
015	Wilks' lambda	0.999860154782304	2	1390.0	0.09720602009580002	0.9073752182206971	False
015	Pillai's trace	0.00013984521769609578	2.0	1390.0	0.09720602009582824	0.9073752182206272	False
015	Hotelling-Lawley trace	0.00013986477711629963	2	1389.999999999976	0.09720602009582824	0.9073752182207113	False
015	Roy's greatest root	0.00013986477711629963	2	1390	0.09720602009582824	0.9073752182206272	False
016	Wilks' lambda	0.9745045954493949	2	1390.0	18.18288620229566	1.602524059695824e-08	True
016	Pillai's trace	0.025495404550605012	2.0	1390.0	18.182886202295627	1.602524059695824e-08	True
016	Hotelling-Lawley trace	0.026162426190353416	2	1389.999999999976	18.182886202295624	1.6025240596943948e-08	True
016	Roy's greatest root	0.026162426190353416	2	1390	18.182886202295624	1.602524059695824e-08	True
018	Wilks' lambda	0.946582356392728	2	1390.0	39.220319348157275	2.6921029586829387e-17	True
018	Pillai's trace	0.053417643607271914	2.0	1390.0	39.22031934815724	2.692102958683168e-17	True
018	Hotelling-Lawley trace	0.056432114170010414	2	1389.999999999976	39.22031934815724	2.692102958680777e-17	True
018	Roy's greatest root	0.056432114170010414	2	1390	39.22031934815724	2.692102958683168e-17	True
019	Wilks' lambda	0.9850356103739285	2	1390.0	10.558248534965816	2.8124973750418433e-05	True
019	Pillai's trace	0.014964389626071477	2.0	1390.0	10.558248534965802	2.8124973750418433e-05	True
019	Hotelling-Lawley trace	0.015191724510742164	2	1389.999999999976	10.558248534965804	2.8124973750392053e-05	True
019	Roy's greatest root	0.015191724510742164	2	1390	10.558248534965804	2.8124973750418433e-05	True
020	Wilks' lambda	0.9839597808369662	2	1390.0	11.329682915317852	1.3160010300272448e-05	True
020	Pillai's trace	0.01604021916303377	2.0	1390.0	11.329682915317846	1.3160010300274505e-05	True
020	Hotelling-Lawley trace	0.016301702036428556	2	1389.999999999976	11.329682915317845	1.316001030026235e-05	True
020	Roy's greatest root	0.016301702036428556	2	1390	11.329682915317846	1.3160010300274505e-05	True
021	Wilks' lambda	0.9964382521886676	2	1390.0	2.484263047347717	0.08375715943351135	False
021	Pillai's trace	0.0035617478113324622	2.0	1390.0	2.484263047347726	0.08375715943349837	False
021	Hotelling-Lawley trace	0.003574479204816872	2	1389.999999999976	2.484263047347726	0.08375715943342725	False
021	Roy's greatest root	0.003574479204816872	2	1390	2.484263047347726	0.08375715943349837	False
022	Wilks' lambda	0.9984894654251778	2	1390.0	1.0514097202361483	0.3497225249663413	False
022	Pillai's trace	0.001510534574822181	2.0	1390.0	1.0514097202361365	0.3497225249663413	False
022	Hotelling-Lawley trace	0.0015128197413469592	2	1389.999999999976	1.0514097202361365	0.3497225249660358	False
022	Roy's greatest root	0.0015128197413469592	2	1390	1.0514097202361365	0.3497225249663413	False
024	Wilks' lambda	0.9390144768477083	2	1390.0	45.13768385459813	1.0168106014974512e-19	True
024	Pillai's trace	0.06098552315229169	2.0	1390.0	45.137683854598144	1.0168106014974512e-19	True
024	Hotelling-Lawley trace	0.06494630770445776	2	1389.999999999976	45.137683854598144	1.0168106014965625e-19	True
024	Roy's greatest root	0.06494630770445776	2	1390	45.137683854598144	1.0168106014974512e-19	True
025	Wilks' lambda	0.9829778978765727	2	1390.0	12.035225818747163	6.575189267061455e-06	True
025	Pillai's trace	0.017022102123427287	2.0	1390.0	12.035225818747188	6.575189267060427e-06	True
