test	t-value	df	p-value	significance
Wilks' lambda	-6.657712257851871	29.0	2.6677806048780036e-07	True
Pillai's trace	-25.65343997003785	29.0	1.752821317414046e-21	True
Hotelling-Lawley trace	-24.868803287962695	29.0	4.154347012145392e-21	True
Roy's greatest root	-24.868803287962695	29.0	4.154347012145392e-21	True
