subject	model	hidden_state	mean	variance
001	cardiac	1	0.001247973045106951	7.415801001247948e-06
001	cardiac	2	0.6813697620130467	0.0008756039199016254
001	cardiac	3	0.7569027562524455	0.0015012964757821782
001	cardiac	4	0.0012517196061309934	999.9999999999999
