Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	865.96	0.0	[278, 358, 117, 637]	True
beta	Levene	1.67	0.173	[278, 358, 117, 637]	False
frontal_alpha	Barlett	127.59	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	27.02	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	629.2	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	3.89	0.009	[278, 358, 117, 637]	True
gamma	Barlett	684.63	0.0	[278, 358, 117, 637]	True
gamma	Levene	3.38	0.018	[278, 358, 117, 637]	True
posterior_alpha	Barlett	282.15	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	9.76	0.0	[278, 358, 117, 637]	True
