Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	46.09	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	12.13	0.0	[310, 342, 409, 331]	True
ibi	Barlett	11.74	0.008	[310, 342, 409, 331]	True
ibi	Levene	1.2	0.308	[310, 342, 409, 331]	False
