subject	state	feature	mean	std	min	max
001	0	arousal	-0.11393094993763382	0.7099811569318324	-1.0	1.0
001	1	arousal	-0.10115191797891737	0.6282742857810897	-1.0	1.0
001	2	arousal	-0.20648007884674147	0.6025252591643808	-1.0	1.0
001	3	arousal	-0.1149902778321343	0.6963455026331866	-1.0	1.0
001	0	beta	-0.5928693033837017	0.5321641601182979	-2.1963980240877485	0.8932506597314943
001	1	beta	1.8702422040317812	1.5990186244547342	-0.4348472816700395	8.768524503281997
001	2	beta	0.38810906176434823	0.6300035296242352	-1.3935473302087742	2.428917181856154
001	3	beta	0.09979924889657132	0.5376065487738685	-1.125113490549096	1.4814041715771509
001	0	frontal_alpha	-0.5076186845466304	0.30545818594979135	-1.0640415915938084	0.5350258802579158
001	1	frontal_alpha	2.053733387784751	1.7624825613393538	-0.8007241444851787	10.423956137819046
001	2	frontal_alpha	-0.2783876689312856	0.416764978013944	-1.0109774846828172	1.1025721717326806
001	3	frontal_alpha	0.6638954290924834	0.5966664258091421	-0.4537648917998369	2.7264061948883005
001	0	frontal_theta	-0.37703392259895596	0.3491911845151511	-0.8620550621452642	1.3772797773557552
001	1	frontal_theta	1.7218454561517826	2.1724852071262526	-0.4308308450767043	10.64831458686343
001	2	frontal_theta	-0.1966597710741054	0.4452440223052845	-0.9074984284806924	1.6059810397692011
001	3	frontal_theta	0.3977046100090103	0.8448836848445989	-0.7663430455875501	4.191990366071075
001	0	gamma	-0.3805672689185377	0.3894596982355155	-1.3084479988481408	0.7612732578708448
001	1	gamma	1.091855788461958	2.4238034310595853	-1.020310002337546	12.943520611812364
001	2	gamma	0.6105537987992559	0.6997943656790893	-1.1620666719178985	2.8165830599809194
001	3	gamma	-0.34523405891126513	0.39136267162252714	-1.3656193941823518	0.6786177710623571
001	0	posterior_alpha	-0.4984034890491202	0.2907817851165891	-1.1342150108738047	0.4499381110974434
001	1	posterior_alpha	2.0010202846230145	1.9234176535089207	-0.7397274444449774	10.802817169778448
001	2	posterior_alpha	-0.2560794082432676	0.4169857538631904	-1.105635128836898	0.8513189377850936
001	3	posterior_alpha	0.6366139209386108	0.5387495160292342	-0.3743341381898955	3.182693302319385
001	0	valence	0.1858911507081984	0.6374599966834229	-1.0	1.0
001	1	valence	0.22432642953846155	0.5171852352082354	-0.88525134	1.0
001	2	valence	0.39832299001197635	0.5428976124435522	-0.9988969	1.0
001	3	valence	0.18522026224147592	0.6484645920081108	-1.0	1.0
002	0	arousal	-0.6572686028582754	0.5137899407662518	-1.0	1.0
002	1	arousal	0.17875788046897617	0.797493069580815	-1.0	1.0
002	2	arousal	0.611115557973549	0.6517001362169372	-1.0	1.0
002	3	arousal	-0.6853855816038461	0.535510411705906	-1.0	1.0
002	0	beta	-0.5427174473273715	0.2859739763133635	-1.212032779756992	0.4411521187766548
002	1	beta	2.959156904330301	2.3113634520926443	-0.5488376958623544	11.0156685900318
002	2	beta	0.8147714943503995	0.607339543577564	-0.3944594649993499	2.8962902827806625
002	3	beta	-0.19952503864857624	0.3733685050148964	-0.9825800098877476	1.1737865723317162
002	0	frontal_alpha	-0.28107657059090924	0.2501225310187067	-0.8417783898236537	0.4666351461495728
002	1	frontal_alpha	2.32153234904973	4.092466854672682	-0.4531234342329016	19.337114465003697
002	2	frontal_alpha	-0.11616664286145156	0.3418968076413437	-0.8029958803861187	1.056063388688335
002	3	frontal_alpha	0.49212921105908264	0.5802828277168939	-0.5509722035119095	3.1096427023123416
002	0	frontal_theta	-0.23925926503530454	0.7326183330677287	-2.1492198572965973	1.981811315749864
002	1	frontal_theta	1.1504121731187211	1.734666835918534	-1.0879652799106725	7.893820752309432
002	2	frontal_theta	-0.07781923494427087	0.8294277014840791	-1.7405253365793187	2.805649326923616
002	3	frontal_theta	0.5484597950743458	1.274631905551734	-1.8983259873765304	4.627547363116642
002	0	gamma	-0.3058932849299046	0.12613728599436763	-0.5312965764772489	0.2688034582943484
002	1	gamma	2.4663656950022843	4.110947031339325	-0.4241039245238875	17.489908466328774
002	2	gamma	0.4757850003943112	0.4274594891971613	-0.1599918393985136	2.0057906620492276
002	3	gamma	-0.2889976847225354	0.18476230003516447	-0.5065407928102728	0.7514355958821396
002	0	posterior_alpha	-0.21683148053167542	0.13824388738352356	-0.568013688901546	0.1979279967401072
002	1	posterior_alpha	2.378977265865258	4.376821888494988	-0.3499999023773961	21.985299194972335
002	2	posterior_alpha	-0.13513558808231496	0.21289754830970725	-0.5291450802873953	0.8571608496337185
002	3	posterior_alpha	0.3297573788720287	0.5148118237721782	-0.4086277328766704	3.119722567278611
002	0	valence	0.3627656001156989	0.7443856559641957	-1.0	1.0
002	1	valence	-0.07141091814085622	0.7024737673981474	-1.0	1.0
002	2	valence	-0.12214122540977061	0.5653351018846592	-1.0	1.0
002	3	valence	0.5600406992887019	0.6071842204311713	-1.0	1.0
003	0	arousal	-0.11158450765023178	0.8508842195965775	-1.0	1.0
003	1	arousal	-0.08956763716304347	0.8665491506178363	-1.0	1.0
003	2	arousal	0.18633311434778912	0.782909079015894	-1.0	1.0
003	3	arousal	-0.43692976605014433	0.8307145953077175	-1.0	1.0
003	0	beta	-0.5734871395986139	0.34648445981776416	-1.341113189871479	0.7254412448325004
003	1	beta	1.9176219319762227	1.5715065064205824	-0.5897138987931853	8.861997165581538
003	2	beta	0.5745431780058292	0.49984307925064614	-0.9253500879543476	2.6456156284210217
003	3	beta	-0.11375238249925025	0.4588721987329493	-1.1345483502917584	1.5056808483433235
