state	feature	mean	std	min	max
0	arousal	0.3122992682750801	0.9183241256176512	-1.0692205614066548	1.9941284506791963
0	beta	0.5710681265348616	0.5374874201619995	-0.5409773754709892	2.346563503239978
0	frontal_alpha	-0.18625988477688285	0.443328326434663	-1.0820455658519756	1.2790690419416362
0	frontal_theta	-0.114627416355019	0.6261203456920754	-1.3824093524259962	2.0256943642887895
0	gamma	0.5987442992568445	0.5333807534109132	-0.3831471730242167	2.5557146162074647
0	hf-hrv	-0.002162918010341852	1.0030885787801989	-1.7393873928416876	3.270070169207054
0	ibi	-0.05432338236237932	1.0172729892256567	-2.7134972826738104	3.093561836448494
0	posterior_alpha	-0.20659821278948728	0.4245959597500557	-1.0399878170086838	1.160327482355432
0	valence	-0.16926828467568678	0.9426026411004083	-1.4070921348362062	1.46117559443376
1	arousal	-0.25777226487900023	0.8676584983029902	-1.0692205614066548	2.0188997043934704
1	beta	-0.08780435109561815	0.4271289781586052	-1.0278558330204106	1.193017053541263
1	frontal_alpha	0.5694741489235471	0.6568526756972971	-0.8011684319301223	2.8908105495614325
1	frontal_theta	0.34719069114202394	0.9762164237183978	-1.3760262960364606	4.132036821381221
1	gamma	-0.32597809115477977	0.28537991382298306	-0.8705487430789335	0.5901366572356923
1	hf-hrv	-0.04417711101832805	0.9760471366541206	-1.8686935377232585	3.555153008147947
1	ibi	-0.004773722692755688	0.9754349066280859	-2.6878730227329575	2.982125925986306
1	posterior_alpha	0.569108398658001	0.6570911942560743	-0.7563210052052042	2.9796449167082906
1	valence	0.1084294640142092	0.9024515903977193	-1.4073715522970476	1.480895412410595
2	arousal	-0.024557434052221966	0.930988003300231	-1.0692205614066548	1.886063006176911
2	beta	1.9079314590346879	2.256893645396629	-0.6811373311206472	12.321753832385863
2	frontal_alpha	2.030308767416539	2.0410683130383274	-0.7449504658086931	9.928603901535007
2	frontal_theta	1.138526329619262	2.0236820043539536	-1.1200046736070302	10.613100062886957
2	gamma	1.6054530959954825	2.67795118137313	-0.822201978772776	13.684081006908041
2	hf-hrv	-0.110215123072318	0.9670815844365805	-1.7104734735942226	2.5744472251351356
2	ibi	-0.042677439707613216	1.001964575547577	-2.3231316388372494	2.4199183064005902
2	posterior_alpha	1.8934914339195428	2.2280451575744844	-0.8318900850317933	10.980675014714299
2	valence	-0.07297429113592109	0.883954357781112	-1.366742982240633	1.438310527747354
3	arousal	-0.036209990110839876	0.9620588457613132	-1.0692205614066548	2.2979004386484037
3	beta	-0.4877829913225404	0.327262600354414	-1.2879614654186504	0.5336154798906145
3	frontal_alpha	-0.47309263790214134	0.3235499217695816	-1.2087871261562897	0.5378877008141698
3	frontal_theta	-0.2710521905310947	0.5834933388606866	-1.5400175191825642	1.7866729428170756
3	gamma	-0.36940505830519627	0.25001320805647664	-0.9030670913521224	0.45050413897838426
3	hf-hrv	0.03889009643837928	0.9533122720465389	-1.8911868075831642	3.9220973172003712
3	ibi	0.04038043035796968	0.9661248095302392	-2.7099152103456055	3.210397023658587
3	posterior_alpha	-0.44933063432791315	0.29844980824820344	-1.140093304785558	0.4933580150685982
3	valence	0.05107393612657604	1.0000089320186787	-1.4354632260540574	1.5197411764120439
