State	Variable	Statistic	Samples	p-value	Significance
0	hf-hrv	0.98	310	0.001	True
0	ibi	0.94	310	0.0	True
1	hf-hrv	0.98	342	0.0	True
1	ibi	0.96	342	0.0	True
2	hf-hrv	0.94	409	0.0	True
2	ibi	0.87	409	0.0	True
3	hf-hrv	0.98	331	0.0	True
3	ibi	0.98	331	0.0	True
