State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.85	278	0.0	True
0	frontal_alpha	0.38	278	0.0	True
0	frontal_theta	0.95	278	0.0	True
0	gamma	0.76	278	0.0	True
0	posterior_alpha	0.28	278	0.0	True
1	beta	0.65	358	0.0	True
1	frontal_alpha	0.45	358	0.0	True
1	frontal_theta	0.92	358	0.0	True
1	gamma	0.28	358	0.0	True
1	posterior_alpha	0.31	358	0.0	True
2	beta	0.95	117	0.0	True
2	frontal_alpha	0.7	117	0.0	True
2	frontal_theta	0.95	117	0.001	True
2	gamma	0.76	117	0.0	True
2	posterior_alpha	0.62	117	0.0	True
3	beta	0.74	637	0.0	True
3	frontal_alpha	0.33	637	0.0	True
3	frontal_theta	0.9	637	0.0	True
3	gamma	0.36	637	0.0	True
3	posterior_alpha	0.21	637	0.0	True
