Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	105.5	0.0	[278, 358, 117, 637]	True
beta	Levene	8.84	0.0	[278, 358, 117, 637]	True
frontal_alpha	Barlett	33.37	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	0.35	0.792	[278, 358, 117, 637]	False
frontal_theta	Barlett	2.65	0.449	[278, 358, 117, 637]	False
frontal_theta	Levene	0.2	0.898	[278, 358, 117, 637]	False
gamma	Barlett	446.34	0.0	[278, 358, 117, 637]	True
gamma	Levene	5.79	0.001	[278, 358, 117, 637]	True
posterior_alpha	Barlett	120.41	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	0.25	0.858	[278, 358, 117, 637]	False
