State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.95	230	0.0	True
0	frontal_alpha	0.88	230	0.0	True
0	frontal_theta	0.75	230	0.0	True
0	gamma	0.77	230	0.0	True
0	hf-hrv	0.45	230	0.0	True
0	ibi	0.94	230	0.0	True
0	posterior_alpha	0.83	230	0.0	True
1	beta	0.96	138	0.0	True
1	frontal_alpha	0.89	138	0.0	True
1	frontal_theta	0.73	138	0.0	True
1	gamma	0.88	138	0.0	True
1	hf-hrv	0.84	138	0.0	True
1	ibi	0.92	138	0.0	True
1	posterior_alpha	0.5	138	0.0	True
2	beta	0.97	575	0.0	True
2	frontal_alpha	0.9	575	0.0	True
2	frontal_theta	0.96	575	0.0	True
2	gamma	0.93	575	0.0	True
2	hf-hrv	0.83	575	0.0	True
2	ibi	0.92	575	0.0	True
2	posterior_alpha	0.64	575	0.0	True
3	beta	0.91	447	0.0	True
3	frontal_alpha	0.98	447	0.0	True
3	frontal_theta	0.98	447	0.0	True
3	gamma	0.85	447	0.0	True
3	hf-hrv	0.65	447	0.0	True
3	ibi	0.81	447	0.0	True
3	posterior_alpha	0.93	447	0.0	True
