Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	110.65	0.0	[230, 138, 575, 447]	True
beta	Levene	16.93	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	34.1	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	4.4	0.004	[230, 138, 575, 447]	True
frontal_theta	Barlett	76.2	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	2.32	0.073	[230, 138, 575, 447]	False
gamma	Barlett	271.39	0.0	[230, 138, 575, 447]	True
gamma	Levene	28.28	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	377.2	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	33.3	0.0	[230, 138, 575, 447]	True
ibi	Barlett	45.48	0.0	[230, 138, 575, 447]	True
ibi	Levene	9.62	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	268.18	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	9.64	0.0	[230, 138, 575, 447]	True
