Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	100.16	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	12.68	0.0	[310, 342, 409, 331]	True
ibi	Barlett	42.67	0.0	[310, 342, 409, 331]	True
ibi	Levene	18.28	0.0	[310, 342, 409, 331]	True
