subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value
24,HN,[6.0],1,"[33.75, 42.0, 51.0, 58.0]",4,l2,5,1
24,HP,"[7.25, 10.0, 23.0, 27.25, 28.0, 36.0, 39.0, 46.0, 51.0, 57.75]",10,"[9.5, 13.0, 16.25, 22.75, 27.25, 36.0, 45.0, 48.0, 51.25]",9,l2,5,1
24,LN,"[2.25, 3.5, 4.75]",3,"[3.5, 5.25, 13.25, 25.5, 41.5]",5,l2,5,1
24,LP,"[2.0, 4.5, 7.5, 10.25, 12.75, 20.5, 21.75, 24.25, 34.5, 42.75]",10,[1.5],1,l2,5,1
