State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.95	154	0.0	True
0	frontal_alpha	0.98	154	0.033	True
0	frontal_theta	0.94	154	0.0	True
0	gamma	0.94	154	0.0	True
0	posterior_alpha	0.97	154	0.005	True
1	beta	0.99	330	0.005	True
1	frontal_alpha	0.91	330	0.0	True
1	frontal_theta	0.96	330	0.0	True
1	gamma	0.97	330	0.0	True
1	posterior_alpha	0.93	330	0.0	True
2	beta	0.81	93	0.0	True
2	frontal_alpha	0.83	93	0.0	True
2	frontal_theta	0.94	93	0.0	True
2	gamma	0.8	93	0.0	True
2	posterior_alpha	0.73	93	0.0	True
3	beta	0.98	813	0.0	True
3	frontal_alpha	0.99	813	0.002	True
3	frontal_theta	0.98	813	0.0	True
3	gamma	0.98	813	0.0	True
3	posterior_alpha	0.99	813	0.0	True
