Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	740.85	0.0	[278, 358, 117, 637]	True
beta	Levene	22.07	0.0	[278, 358, 117, 637]	True
frontal_alpha	Barlett	62.12	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	6.97	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	26.33	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	2.78	0.04	[278, 358, 117, 637]	True
gamma	Barlett	1039.16	0.0	[278, 358, 117, 637]	True
gamma	Levene	22.33	0.0	[278, 358, 117, 637]	True
posterior_alpha	Barlett	622.91	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	9.41	0.0	[278, 358, 117, 637]	True
