State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.53	230	0.0	True
0	frontal_alpha	0.86	230	0.0	True
0	frontal_theta	0.91	230	0.0	True
0	gamma	0.38	230	0.0	True
0	hf-hrv	0.97	230	0.0	True
0	ibi	1.0	230	0.823	False
0	posterior_alpha	0.75	230	0.0	True
1	beta	0.6	138	0.0	True
1	frontal_alpha	0.81	138	0.0	True
1	frontal_theta	0.82	138	0.0	True
1	gamma	0.51	138	0.0	True
1	hf-hrv	0.97	138	0.005	True
1	ibi	0.97	138	0.003	True
1	posterior_alpha	0.48	138	0.0	True
2	beta	0.38	575	0.0	True
2	frontal_alpha	0.72	575	0.0	True
2	frontal_theta	0.83	575	0.0	True
2	gamma	0.5	575	0.0	True
2	hf-hrv	0.94	575	0.0	True
2	ibi	0.99	575	0.004	True
2	posterior_alpha	0.69	575	0.0	True
3	beta	0.47	447	0.0	True
3	frontal_alpha	0.62	447	0.0	True
3	frontal_theta	0.95	447	0.0	True
3	gamma	0.5	447	0.0	True
3	hf-hrv	0.99	447	0.013	True
3	ibi	0.99	447	0.002	True
3	posterior_alpha	0.41	447	0.0	True
