Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	221.77	0.0	[230, 138, 575, 447]	True
beta	Levene	16.68	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	11.42	0.01	[230, 138, 575, 447]	True
frontal_alpha	Levene	6.14	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	80.74	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	5.75	0.001	[230, 138, 575, 447]	True
gamma	Barlett	605.07	0.0	[230, 138, 575, 447]	True
gamma	Levene	19.26	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	0.72	0.869	[230, 138, 575, 447]	False
hf-hrv	Levene	1.66	0.174	[230, 138, 575, 447]	False
ibi	Barlett	9.01	0.029	[230, 138, 575, 447]	True
ibi	Levene	4.54	0.004	[230, 138, 575, 447]	True
posterior_alpha	Barlett	378.07	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	8.81	0.0	[230, 138, 575, 447]	True
