State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.6	278	0.0	True
0	frontal_alpha	0.46	278	0.0	True
0	frontal_theta	0.9	278	0.0	True
0	gamma	0.47	278	0.0	True
0	posterior_alpha	0.54	278	0.0	True
1	beta	0.53	358	0.0	True
1	frontal_alpha	0.41	358	0.0	True
1	frontal_theta	0.13	358	0.0	True
1	gamma	0.4	358	0.0	True
1	posterior_alpha	0.41	358	0.0	True
2	beta	0.78	117	0.0	True
2	frontal_alpha	0.62	117	0.0	True
2	frontal_theta	0.66	117	0.0	True
2	gamma	0.51	117	0.0	True
2	posterior_alpha	0.65	117	0.0	True
3	beta	0.7	637	0.0	True
3	frontal_alpha	0.34	637	0.0	True
3	frontal_theta	0.92	637	0.0	True
3	gamma	0.41	637	0.0	True
3	posterior_alpha	0.38	637	0.0	True
