Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	8.29	0.04	[310, 342, 409, 331]	True
hf-hrv	Levene	3.36	0.018	[310, 342, 409, 331]	True
ibi	Barlett	7.78	0.051	[310, 342, 409, 331]	False
ibi	Levene	3.22	0.022	[310, 342, 409, 331]	True
