State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.76	278	0.0	True
0	frontal_alpha	0.65	278	0.0	True
0	frontal_theta	0.56	278	0.0	True
0	gamma	0.7	278	0.0	True
0	posterior_alpha	0.68	278	0.0	True
1	beta	0.92	358	0.0	True
1	frontal_alpha	0.7	358	0.0	True
1	frontal_theta	0.66	358	0.0	True
1	gamma	0.87	358	0.0	True
1	posterior_alpha	0.7	358	0.0	True
2	beta	0.57	117	0.0	True
2	frontal_alpha	0.78	117	0.0	True
2	frontal_theta	0.43	117	0.0	True
2	gamma	0.48	117	0.0	True
2	posterior_alpha	0.83	117	0.0	True
3	beta	0.7	637	0.0	True
3	frontal_alpha	0.6	637	0.0	True
3	frontal_theta	0.52	637	0.0	True
3	gamma	0.78	637	0.0	True
3	posterior_alpha	0.65	637	0.0	True
