,subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value,min_size
0,61,61.0,"[3.0, 8.75, 12.5, 15.25, 35.5, 96.5, 98.25, 107.5, 116.75, 117.75, 121.25, 122.25, 182.75, 183.75, 186.0, 191.0, 200.0, 214.0, 215.0, 216.0, 249.5, 259.25, 262.25, 263.25, 266.25, 271.5, 274.0, 281.75, 282.75, 285.25, 294.5, 296.0, 297.5, 299.5, 301.0, 304.75, 305.75, 309.25, 310.25, 312.25, 316.5, 321.0, 325.0, 329.5, 330.75, 332.0, 338.75, 371.0, 380.25, 383.5, 385.25, 506.5, 511.0, 515.0, 526.0, 531.25, 532.75, 534.0, 546.0, 551.75, 554.75, 557.0, 575.0, 576.5, 578.25, 579.25, 580.25, 627.25, 628.25, 630.5, 655.0, 658.75, 673.0, 674.25, 675.25, 691.5, 721.25, 731.0, 732.5, 743.25, 745.0, 779.5, 792.75, 794.0, 807.0, 818.25, 819.75, 822.25, 826.5, 834.5, 835.5, 861.5, 865.0, 867.0, 876.5, 919.0, 920.0, 934.75, 949.25, 996.0, 1016.5, 1027.5, 1042.5, 1043.75, 1044.75, 1046.25, 1054.0, 1055.75, 1056.75, 1059.0, 1068.5, 1073.25, 1082.0, 1132.5, 1189.5, 1190.5, 1193.25, 1230.25, 1245.25, 1274.75, 1297.75, 1300.75, 1301.75, 1304.0, 1307.25, 1333.0, 1334.0, 1336.25, 1344.0, 1345.75, 1361.25, 1370.5]",132,"[62.0, 63.0, 90.0, 91.75, 95.5, 101.25, 108.0, 117.75, 119.25, 144.0, 152.75, 160.75, 166.5, 168.25, 169.25, 172.25, 186.0, 192.5, 200.25, 211.25, 216.25, 219.75, 228.75, 229.75, 231.0, 234.5, 238.75, 246.5, 248.75, 256.75, 258.5, 264.25, 270.75, 278.25, 280.0, 281.75, 288.0, 289.75, 294.5, 298.25, 304.75, 309.25, 310.5, 317.25, 320.0, 328.0, 329.75, 331.0, 338.75, 341.75, 372.25, 373.25, 435.25, 480.0, 497.25, 505.0, 510.0, 516.5, 518.25, 527.75, 532.75, 545.5, 548.25, 554.75, 557.0, 558.75, 561.75, 565.5, 566.5, 574.75, 576.25, 579.25, 580.25, 589.25, 590.75, 600.25, 626.25, 630.5, 654.5, 656.75, 672.25, 675.25, 691.5, 701.25, 721.25, 723.5, 730.25, 748.5, 756.25, 757.25, 779.5, 781.25, 782.75, 793.0, 795.5, 808.25, 810.0, 817.5, 823.5, 825.25, 826.5, 859.5, 861.0, 920.0, 924.75, 932.25, 950.5, 952.25, 955.5, 973.5, 982.75, 989.5, 995.0, 1045.0, 1046.0, 1070.5, 1072.25, 1191.25, 1193.0, 1302.5, 1304.5, 1331.75]",122,l2,5,1,20
0,62,62.0,"[5.0, 101.75, 109.75, 187.0, 190.25, 195.75, 208.0, 213.5, 227.75, 232.5, 269.0, 270.5, 273.25, 293.25, 299.5, 301.25, 335.25, 338.0, 346.25, 350.5, 356.75, 399.25, 435.5, 546.25, 565.5, 579.75, 585.75, 650.75, 652.25, 653.25, 688.25, 692.75, 702.0, 710.5, 715.0, 729.25, 739.5, 743.25, 758.5, 766.0, 767.0, 771.0, 819.5, 821.75, 826.25, 834.25, 914.25, 919.5, 924.0, 929.0, 960.0, 961.0, 993.75, 1035.25, 1163.25, 1169.75, 1175.75, 1253.0, 1256.5, 1261.25, 1279.25, 1297.0, 1304.5, 1307.75, 1365.25, 1376.25]",66,"[2.25, 3.25, 5.5, 9.75, 22.25, 33.0, 45.25, 79.5, 87.25, 110.0, 111.5, 113.0, 128.5, 146.75, 153.5, 154.75, 156.75, 165.0, 186.0, 196.25, 228.25, 232.75, 263.75, 268.75, 274.75, 282.75, 286.25, 287.25, 298.0, 299.0, 306.5, 317.75, 325.0, 326.0, 334.5, 436.5, 449.5, 471.0, 472.75, 477.0, 520.0, 539.75, 543.25, 545.75, 551.5, 565.25, 586.25, 598.75, 600.25, 620.75, 638.0, 650.25, 745.25, 752.5, 757.5, 771.25, 772.5, 775.25, 778.0, 786.0, 808.0, 809.75, 814.5, 819.5, 826.25, 833.5, 933.75, 936.5, 939.25, 950.5, 1161.0, 1163.0, 1302.25, 1303.75, 1304.75]",75,l2,5,1,20
0,63,63.0,"[4.75, 9.5, 15.0, 22.0, 25.75, 36.0, 105.75, 111.5, 121.75, 133.25, 137.25, 148.5, 159.75, 164.5, 168.25, 169.25, 195.75, 199.75, 201.25, 208.0, 216.25, 220.5, 233.5, 242.5, 247.5, 249.0, 259.0, 268.0, 273.5, 279.0, 280.25, 281.5, 288.0, 298.5, 310.5, 329.5, 340.25, 347.25, 348.5, 371.25, 377.5, 390.5, 400.0, 422.0, 454.0, 471.5, 485.0, 490.75, 497.0, 546.0, 562.5, 566.5, 573.75, 576.5, 582.5, 598.0, 610.75, 624.25, 626.25, 640.75, 644.0, 692.75, 697.25, 708.5, 729.5, 733.25, 767.75, 768.75, 782.75, 786.75, 791.5, 799.75, 807.75, 828.75, 829.75, 867.25, 920.75, 929.0, 936.0, 940.0, 1131.0, 1159.25, 1161.75, 1168.25, 1172.75, 1175.75, 1185.75, 1203.25, 1215.25, 1298.5, 1313.5]",91,"[9.75, 111.5, 120.5, 170.25, 172.25, 176.75, 184.25, 186.5, 195.75, 203.25, 206.75, 220.25, 225.25, 243.0, 253.75, 270.5, 282.75, 291.75, 302.75, 327.5, 348.75, 452.0, 456.5, 469.25, 474.5, 493.75, 511.25, 527.25, 533.25, 545.5, 559.0, 565.75, 570.25, 583.0, 585.0, 599.25, 607.5, 609.0, 626.5, 641.25, 643.75, 648.25, 662.25, 691.5, 711.5, 730.0, 734.75, 737.5, 754.25, 765.0, 766.75, 768.25, 769.75, 772.25, 778.75, 784.0, 792.5, 801.0, 807.25, 808.75, 815.0, 817.0, 821.0, 823.75, 828.75, 937.25, 942.0, 952.75, 968.5, 969.75, 976.25, 979.25, 1009.0, 1014.75, 1018.25, 1025.75, 1036.75, 1038.25, 1039.75, 1053.5, 1063.25, 1079.25, 1093.75, 1117.0, 1126.0, 1130.75, 1187.25, 1189.25, 1191.25, 1195.75, 1203.0, 1205.25, 1216.5, 1220.0, 1236.25, 1240.75, 1254.5, 1256.5, 1269.5, 1277.5, 1295.75, 1297.25, 1298.25]",103,l2,5,1,20
0,64,64.0,"[5.0, 6.0, 7.5, 8.5, 9.5, 10.75, 142.0, 143.25, 353.5, 445.25, 457.0, 587.25, 588.25, 620.75, 621.75, 623.25, 633.0, 634.5, 638.25, 639.5, 655.75, 665.75, 667.0, 672.0, 674.0, 677.0, 687.75, 690.25, 693.0, 694.25, 723.0, 724.0, 804.75, 806.0, 807.0, 809.0, 810.0, 811.5, 816.5, 861.25, 862.75, 918.75, 920.5, 924.25, 929.0, 930.75, 948.0, 949.25, 975.5, 981.75, 990.0, 1014.5, 1019.5, 1021.0, 1024.0, 1031.0, 1042.75, 1054.0, 1057.0, 1058.0, 1062.0, 1071.0, 1072.5, 1092.75]",64,"[11.5, 44.75, 138.25, 139.5, 142.0, 457.0, 460.0, 581.25, 585.75, 588.25, 592.0, 620.75, 622.0, 631.75, 633.0, 666.25, 668.0, 672.25, 687.75, 691.25, 695.5, 699.0, 719.0, 720.0, 747.25, 748.25, 750.0, 761.75, 801.5, 803.75, 804.75, 806.0, 807.0, 809.5, 810.5, 811.5, 816.5, 919.5, 924.25, 930.0, 931.0, 1055.25, 1057.5, 1058.75, 1059.75, 1073.0, 1092.75]",47,l2,5,1,20
0,65,65.0,"[2.25, 8.5, 20.0, 27.5, 36.0, 38.0, 40.25, 50.75, 64.0, 65.5, 94.25, 101.25, 102.75, 114.75, 119.5, 178.75, 183.75, 192.0, 194.0, 205.5, 216.75, 245.25, 250.0, 254.5, 262.75, 265.5, 266.5, 277.0, 293.5, 315.0, 323.75, 328.75, 340.0, 345.0, 346.0, 349.5, 361.25, 363.25, 365.75, 372.0, 378.75, 408.0, 436.5, 443.5, 457.25, 478.75, 563.75, 567.25, 574.0, 586.0, 630.0, 639.5, 643.75, 649.5, 653.25, 671.25, 672.75, 682.25, 686.5, 696.5, 700.5, 715.75, 717.75, 720.75, 723.25, 725.25, 732.75, 740.75, 741.75, 752.25, 763.25, 768.25, 777.25, 820.75, 825.5, 827.75, 850.5, 866.25, 869.75, 882.0, 924.25, 931.0, 935.75, 1281.75, 1288.75, 1298.25, 1311.75, 1318.5]",88,"[2.5, 24.5, 27.5, 44.5, 47.5, 65.0, 98.5, 102.75, 114.0, 123.0, 132.0, 151.0, 159.5, 168.0, 178.0, 183.5, 191.0, 193.75, 199.0, 201.0, 216.5, 225.5, 234.0, 248.0, 249.0, 264.25, 266.25, 271.0, 279.0, 280.25, 297.0, 313.25, 316.75, 322.0, 330.75, 435.75, 438.75, 444.0, 479.75, 504.25, 505.25, 524.25, 538.75, 544.25, 563.25, 568.25, 573.0, 587.0, 588.5, 601.0, 620.75, 639.0, 717.75, 719.25, 720.5, 767.5, 780.0, 799.0, 802.5, 806.25, 815.5, 820.75, 825.25, 926.5, 934.75, 935.75, 937.0, 942.0, 974.75, 979.75, 983.0, 984.0, 989.25, 995.25, 997.0, 1028.0, 1036.5, 1043.5, 1063.5, 1092.0, 1094.0, 1163.5, 1167.25, 1185.5, 1204.75, 1211.5, 1270.5, 1274.5, 1281.75, 1296.75, 1297.75, 1310.25, 1312.25]",93,l2,5,1,20
0,66,66.0,"[6.0, 7.0, 10.5, 27.5, 32.25, 33.25, 50.75, 58.75, 61.0, 97.75, 103.75, 115.0, 116.75, 118.0, 193.0, 207.75, 225.25, 229.25, 231.5, 236.0, 242.0, 244.75, 248.0, 252.5, 275.5, 282.0, 291.5, 307.5, 312.25, 316.75, 333.75, 339.5, 340.75, 365.0, 440.0, 445.0, 446.5, 462.5, 547.5, 562.5, 563.75, 564.75, 579.0, 581.75, 591.5, 597.0, 626.0, 627.25, 636.25, 638.5, 648.25, 669.0, 678.75, 687.25, 688.75, 689.75, 702.75, 709.5, 729.75, 730.75, 735.75, 765.75, 772.75, 822.0, 823.5, 825.0, 840.25, 920.5, 989.5, 1102.25, 1103.75, 1119.0, 1162.0, 1225.0, 1242.0, 1292.75, 1295.75, 1298.75, 1304.25, 1314.5, 1369.25]",81,"[6.75, 10.25, 22.25, 23.25, 31.75, 89.25, 94.25, 104.0, 113.5, 118.0, 119.75, 136.75, 148.75, 149.75, 152.0, 155.25, 169.75, 182.5, 185.5, 291.75, 294.0, 306.25, 318.0, 323.5, 325.0, 326.75, 335.5, 339.0, 346.0, 348.0, 365.0, 382.0, 426.75, 439.25, 440.25, 477.0, 483.0, 484.0, 486.5, 543.75, 545.0, 546.5, 565.5, 567.25, 573.0, 613.5, 625.75, 648.5, 650.0, 723.5, 729.5, 736.75, 750.5, 757.0, 765.5, 806.75, 816.75, 819.25, 825.25, 840.0, 921.5, 922.5, 935.75, 936.75, 950.75, 951.75, 957.5, 989.0, 1299.25, 1301.25, 1316.25, 1369.25]",72,l2,5,1,20
0,67,67.0,"[3.0, 9.5, 18.75, 20.0, 48.5, 67.25, 126.5, 132.0, 185.75, 194.5, 198.25, 234.5, 235.75, 237.75, 239.75, 241.5, 245.5, 259.0, 260.75, 276.75, 291.75, 293.0, 294.0, 306.0, 307.0, 335.25, 336.75, 340.75, 350.0, 437.25, 442.75, 451.75, 549.0, 550.0, 551.0, 559.75, 562.5, 565.25, 578.75, 580.25, 584.25, 585.25, 588.25, 602.5, 604.5, 620.0, 628.25, 629.75, 630.75, 696.25, 708.0, 709.25, 730.75, 733.25, 736.75, 763.25, 764.25, 765.75, 818.75, 819.75, 820.75, 825.0, 826.5, 827.5, 828.5, 854.5, 855.75, 862.0, 865.0, 930.75, 932.5, 1299.25, 1304.75, 1311.75, 1312.75, 1320.75, 1348.5, 1379.75]",78,"[3.0, 19.0, 34.0, 44.0, 46.0, 47.0, 67.5, 73.75, 91.0, 94.75, 124.25, 132.0, 137.25, 139.25, 148.75, 167.25, 180.0, 201.25, 202.5, 234.25, 243.0, 244.5, 261.5, 266.0, 273.5, 276.5, 277.5, 290.75, 293.75, 305.75, 317.5, 336.0, 337.25, 345.5, 438.75, 442.5, 451.75, 468.5, 551.75, 559.5, 562.25, 564.5, 565.5, 567.75, 581.25, 584.0, 585.5, 591.5, 595.25, 602.25, 605.0, 624.25, 628.25, 637.5, 656.5, 696.5, 711.0, 730.25, 736.5, 763.25, 768.75, 808.75, 819.0, 821.25, 824.25, 826.25, 827.25, 855.0, 856.5, 857.5, 861.5, 930.5, 931.5, 937.0, 976.75, 987.5, 1006.0, 1039.5, 1043.75, 1084.5, 1104.75, 1127.25, 1161.25, 1228.5, 1291.75, 1298.25, 1299.25, 1301.25, 1382.5]",89,l2,5,1,20
0,68,68.0,"[2.75, 12.5, 22.25, 28.5, 67.0, 102.75, 263.25, 264.25, 273.25, 276.0, 278.75, 283.75, 287.75, 340.0, 349.0, 364.0, 366.0, 398.25, 400.0, 402.75, 407.0, 414.0, 436.25, 440.25, 464.0, 468.75, 472.25, 481.75, 528.0, 551.75, 556.25, 575.25, 578.5, 581.5, 594.5, 614.25, 629.25, 643.75, 666.0, 679.75, 681.75, 687.25, 690.25, 720.75, 741.0, 757.75, 771.75, 785.5, 798.0, 822.5, 843.25, 854.0, 867.5, 875.5, 902.0, 923.25, 930.75, 940.75, 981.75, 985.5, 1007.5, 1012.25, 1037.25, 1059.25, 1230.0, 1269.0, 1294.75, 1297.25, 1314.75, 1321.0, 1329.25, 1339.0]",72,"[2.75, 4.5, 12.5, 38.5, 43.0, 103.25, 110.25, 115.5, 116.75, 137.5, 149.5, 156.5, 157.5, 165.75, 168.5, 174.5, 190.75, 200.0, 212.0, 214.5, 224.25, 225.75, 250.5, 251.5, 252.5, 255.5, 258.25, 262.0, 267.75, 273.0, 276.5, 282.25, 330.75, 333.25, 469.25, 477.75, 482.25, 483.5, 498.25, 528.25, 541.75, 545.0, 551.5, 580.25, 615.25, 628.25, 644.0, 679.75, 688.25, 689.5, 707.5, 720.75, 780.0, 783.0, 797.25, 817.5, 822.5, 827.0, 831.25, 854.75, 867.5, 872.75, 958.75, 965.25, 973.5, 983.25, 1281.25, 1288.0, 1293.0, 1343.25]",70,l2,5,1,20
0,69,69.0,"[1.0, 5.25, 27.25, 39.25, 45.75, 93.75, 94.75, 101.25, 262.25, 263.25, 269.5, 276.0, 277.0, 335.75, 336.75, 338.5, 359.75, 360.75, 362.75, 365.25, 407.5, 419.75, 436.5, 439.0, 458.5, 472.25, 546.0, 547.0, 568.25, 580.75, 587.5, 591.0, 644.25, 648.0, 649.0, 663.25, 671.5, 690.25, 701.5, 720.5, 729.5, 730.75, 732.0, 738.25, 743.0, 753.75, 759.5, 766.5, 818.5, 819.5, 820.75, 826.5, 828.5, 831.0, 853.75, 905.75, 916.0, 920.5, 925.75, 926.75, 928.0, 929.75, 1079.25, 1081.25, 1100.75, 1136.5, 1239.0, 1248.75, 1259.0, 1279.0, 1284.5, 1287.0, 1293.5, 1295.25, 1298.5, 1299.75, 1328.5, 1331.25]",78,"[1.0, 6.0, 101.25, 104.0, 126.25, 144.0, 175.75, 177.0, 233.25, 262.5, 270.0, 273.75, 280.25, 335.25, 337.0, 360.0, 437.5, 439.0, 481.75, 488.25, 527.0, 545.75, 550.75, 581.5, 585.75, 595.5, 640.5, 643.25, 649.0, 663.0, 733.5, 737.0, 738.25, 743.25, 753.25, 767.0, 768.75, 774.75, 818.25, 826.5, 828.0, 919.25, 920.5, 925.5, 992.25, 1019.5, 1022.0, 1049.75, 1076.75, 1079.0, 1160.0, 1177.0, 1236.75, 1298.5]",54,l2,5,1,20
0,70,70.0,"[10.75, 12.0, 14.75, 17.5, 18.5, 26.5, 29.5, 40.25, 48.25, 49.25, 54.0, 66.5, 81.0, 86.5, 87.5, 89.0, 94.5, 101.0, 102.25, 108.5, 111.0, 118.25, 120.0, 121.25, 125.25, 127.25, 129.0, 167.25, 168.25, 173.25, 175.0, 182.5, 183.5, 196.0, 198.25, 208.5, 213.75, 218.25, 221.75, 224.25, 225.25, 230.0, 232.5, 235.0, 236.0, 237.75, 243.0, 244.0, 245.25, 260.25, 271.75, 283.0, 284.75, 285.75, 295.25, 296.25, 307.5, 310.25, 313.5, 339.5, 340.5, 342.0, 348.25, 351.0, 378.25, 381.25, 385.25, 391.75, 395.5, 397.25, 402.5, 406.0, 413.5, 417.0, 435.5, 437.25, 438.75, 440.75, 441.75, 504.5, 506.0, 514.75, 517.25, 521.5, 535.5, 539.0, 540.5, 545.25, 554.25, 560.75, 562.5, 579.0, 584.25, 585.5, 590.25, 601.75, 602.75, 605.0, 618.25, 627.25, 633.5, 640.5, 712.5, 715.75, 718.0, 721.75, 729.5, 730.5, 758.0, 759.25, 764.25, 768.25, 773.5, 816.25, 818.5, 823.25, 826.25, 836.0, 843.0, 845.25, 848.0, 866.0, 872.75, 881.25, 886.0, 892.75, 906.25, 918.75, 934.75, 946.75, 949.0, 959.5, 973.25, 978.75, 995.75, 1021.5, 1041.5, 1087.75, 1107.25, 1114.5, 1117.5, 1121.75, 1126.25, 1127.5, 1132.25, 1134.25, 1157.0, 1163.25, 1176.75, 1178.25, 1183.5, 1189.75, 1200.25, 1202.75, 1208.25, 1222.75, 1225.5, 1235.25, 1247.75, 1265.75, 1275.5, 1278.5, 1282.25, 1289.0, 1299.5, 1302.25, 1304.5, 1307.75, 1312.25, 1314.75, 1337.0, 1341.5, 1349.0, 1364.75, 1366.5, 1375.0, 1378.0]",177,"[2.25, 4.5, 5.5, 6.5, 8.5, 10.75, 14.75, 17.25, 18.5, 20.0, 26.25, 46.25, 49.0, 52.0, 90.0, 94.5, 96.75, 102.25, 106.75, 120.0, 121.0, 136.0, 137.5, 138.5, 139.5, 142.25, 143.25, 144.25, 145.75, 153.5, 157.25, 159.0, 161.5, 163.75, 167.0, 168.5, 172.25, 173.25, 175.0, 178.25, 182.25, 183.75, 189.75, 193.5, 213.75, 217.75, 232.5, 237.0, 247.0, 248.25, 250.75, 255.25, 263.75, 272.0, 274.25, 278.5, 282.0, 286.5, 295.75, 310.75, 318.75, 330.0, 337.5, 341.5, 349.5, 354.25, 355.25, 371.0, 375.0, 385.25, 393.0, 394.25, 441.75, 444.5, 458.25, 469.5, 472.0, 481.5, 485.25, 487.5, 497.75, 504.25, 517.0, 567.5, 578.0, 599.0, 601.25, 645.5, 647.0, 652.75, 670.75, 675.25, 677.5, 692.25, 698.0, 700.75, 708.0, 715.75, 724.75, 726.75, 731.5, 732.75, 745.5, 748.5, 749.5, 757.5, 758.5, 768.25, 774.0, 790.25, 796.0, 800.25, 808.5, 815.5, 818.5, 829.0, 836.0, 842.75, 856.5, 865.25, 926.0, 929.25, 933.25, 934.25, 1041.75, 1051.0, 1056.5, 1076.75, 1080.0, 1081.25, 1087.0, 1107.5, 1114.5, 1195.75, 1199.0, 1222.75, 1223.75, 1231.0, 1233.75, 1283.5, 1287.0, 1288.75, 1289.75, 1292.0, 1296.75, 1299.25, 1341.5, 1351.25]",148,l2,5,1,20
