Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	326.79	0.0	[463, 370, 264, 296]	True
arousal	Levene	97.71	0.0	[463, 370, 264, 296]	True
valence	Barlett	713.23	0.0	[463, 370, 264, 296]	True
valence	Levene	273.22	0.0	[463, 370, 264, 296]	True
