video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value,min_size
HN,"[3.25, 8.0]",2,"[4.25, 9.5, 51.75]",3,l2,5,1,20
HP,"[3.0, 27.25]",2,"[3.5, 6.0, 51.75]",3,l2,5,1,20
LN,"[4.75, 9.25]",2,"[4.0, 42.25]",2,l2,5,1,20
LP,"[2.5, 4.5, 20.25, 45.25]",4,"[2.25, 8.75, 32.0]",3,l2,5,1,20
