State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.98	320	0.001	True
0	frontal_alpha	0.99	320	0.007	True
0	frontal_theta	0.98	320	0.0	True
0	gamma	0.98	320	0.0	True
0	hf-hrv	0.91	320	0.0	True
0	ibi	1.0	320	0.604	False
0	posterior_alpha	1.0	320	0.532	False
1	beta	1.0	485	0.47	False
1	frontal_alpha	0.98	485	0.0	True
1	frontal_theta	0.99	485	0.0	True
1	gamma	0.98	485	0.0	True
1	hf-hrv	0.99	485	0.107	False
1	ibi	1.0	485	0.21	False
1	posterior_alpha	0.98	485	0.0	True
2	beta	0.98	402	0.0	True
2	frontal_alpha	0.98	402	0.0	True
2	frontal_theta	0.97	402	0.0	True
2	gamma	0.97	402	0.0	True
2	hf-hrv	0.98	402	0.0	True
2	ibi	0.99	402	0.034	True
2	posterior_alpha	0.92	402	0.0	True
3	beta	0.98	183	0.004	True
3	frontal_alpha	0.84	183	0.0	True
3	frontal_theta	0.97	183	0.0	True
3	gamma	0.95	183	0.0	True
3	hf-hrv	0.97	183	0.0	True
3	ibi	1.0	183	0.906	False
3	posterior_alpha	0.67	183	0.0	True
