Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	48.48	0.0	[230, 138, 575, 447]	True
beta	Levene	10.54	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	35.13	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	0.48	0.699	[230, 138, 575, 447]	False
frontal_theta	Barlett	1.98	0.576	[230, 138, 575, 447]	False
frontal_theta	Levene	0.27	0.844	[230, 138, 575, 447]	False
gamma	Barlett	55.34	0.0	[230, 138, 575, 447]	True
gamma	Levene	11.52	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	41.84	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	13.13	0.0	[230, 138, 575, 447]	True
ibi	Barlett	10.57	0.014	[230, 138, 575, 447]	True
ibi	Levene	3.46	0.016	[230, 138, 575, 447]	True
posterior_alpha	Barlett	204.61	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	3.63	0.013	[230, 138, 575, 447]	True
