Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	31.97	0.0	[278, 358, 117, 637]	True
beta	Levene	3.76	0.01	[278, 358, 117, 637]	True
frontal_alpha	Barlett	67.47	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	8.93	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	169.26	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	9.32	0.0	[278, 358, 117, 637]	True
gamma	Barlett	105.48	0.0	[278, 358, 117, 637]	True
gamma	Levene	5.06	0.002	[278, 358, 117, 637]	True
posterior_alpha	Barlett	364.93	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	15.1	0.0	[278, 358, 117, 637]	True
