State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.99	603	0.001	True
0	frontal_alpha	0.99	603	0.0	True
0	frontal_theta	0.98	603	0.0	True
0	gamma	0.98	603	0.0	True
0	hf-hrv	0.99	603	0.0	True
0	ibi	0.97	603	0.0	True
0	posterior_alpha	0.98	603	0.0	True
1	beta	0.97	388	0.0	True
1	frontal_alpha	0.99	388	0.001	True
1	frontal_theta	0.99	388	0.002	True
1	gamma	0.98	388	0.0	True
1	hf-hrv	0.95	388	0.0	True
1	ibi	0.99	388	0.027	True
1	posterior_alpha	0.97	388	0.0	True
2	beta	0.85	245	0.0	True
2	frontal_alpha	0.99	245	0.068	False
2	frontal_theta	0.91	245	0.0	True
2	gamma	0.88	245	0.0	True
2	hf-hrv	0.96	245	0.0	True
2	ibi	0.97	245	0.0	True
2	posterior_alpha	0.97	245	0.0	True
3	beta	0.97	154	0.006	True
3	frontal_alpha	0.77	154	0.0	True
3	frontal_theta	0.97	154	0.003	True
3	gamma	0.99	154	0.233	False
3	hf-hrv	0.95	154	0.0	True
3	ibi	0.99	154	0.425	False
3	posterior_alpha	0.65	154	0.0	True
