Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	232.58	0.0	[230, 138, 575, 447]	True
beta	Levene	22.3	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	5.43	0.143	[230, 138, 575, 447]	False
frontal_alpha	Levene	1.85	0.136	[230, 138, 575, 447]	False
frontal_theta	Barlett	22.97	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	3.8	0.01	[230, 138, 575, 447]	True
gamma	Barlett	60.79	0.0	[230, 138, 575, 447]	True
gamma	Levene	9.31	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	3.59	0.31	[230, 138, 575, 447]	False
hf-hrv	Levene	2.42	0.065	[230, 138, 575, 447]	False
ibi	Barlett	48.17	0.0	[230, 138, 575, 447]	True
ibi	Levene	10.83	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	145.85	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	1.74	0.157	[230, 138, 575, 447]	False
