time,cr_v,cr_a
5.6,0.4385,0.1548125
5.64,0.43740625,0.15825
5.67,0.4324375,0.15628125
5.7,0.42859375,0.15253125
5.74,0.4258125,0.147625
5.77,0.42496875,0.14303125
5.8,0.4265625,0.1403125
5.84,0.43078125,0.13634375
5.87,0.4359375,0.131625
5.9,0.4419375,0.12734375
5.94,0.44837499999999997,0.12409375
5.97,0.45178125,0.12353125000000001
6.0,0.45565625,0.12381249999999999
6.04,0.45725,0.12615625
6.07,0.4573125,0.129
6.1,0.45715625,0.132
6.14,0.4613125,0.1361875
6.17,0.466125,0.13815625
6.2,0.4713125,0.13903125
6.24,0.47559375000000004,0.14059375
6.27,0.47359375000000004,0.14125
6.3,0.46950000000000003,0.14790625
6.34,0.46321875,0.15709375
6.37,0.4545,0.16275
6.4,0.44815625,0.16449999999999998
6.44,0.44503125,0.164625
6.47,0.4420625,0.16499999999999998
6.5,0.44328125,0.17128125
6.54,0.44234375,0.17678125
6.57,0.442125,0.1823125
6.6,0.441875,0.18771875
6.64,0.44046875,0.19125
6.67,0.43775000000000003,0.1918125
6.7,0.4338125,0.19090625
6.74,0.42725,0.19103124999999999
6.77,0.42146875,0.19037500000000002
6.8,0.416625,0.19034375
6.84,0.4135,0.1888125
6.87,0.41321875,0.1854375
6.9,0.4156875,0.180625
6.94,0.42078125,0.1756875
6.97,0.42884374999999997,0.170375
7.0,0.4383125,0.16490625
7.04,0.4401875,0.15996875
7.07,0.44009375,0.15375
7.1,0.43565625,0.1514375
7.14,0.43224999999999997,0.1500625
7.17,0.43221875,0.15215625
7.2,0.43271875,0.155125
7.24,0.4345625,0.15834375
7.27,0.43771875,0.163625
7.3,0.4415,0.17009375
7.34,0.44578125,0.17478125
7.37,0.45059375,0.18053125
7.4,0.4565625,0.188625
7.44,0.46268750000000003,0.197625
7.47,0.4654375,0.2085
7.5,0.4673125,0.21559375
7.54,0.46659375,0.21709375
7.57,0.4638125,0.2155625
7.6,0.45928125,0.214
7.64,0.45518749999999997,0.21531250000000002
7.67,0.45159375,0.2170625
7.7,0.450375,0.21865625
7.74,0.447125,0.215875
7.77,0.44359375,0.21281250000000002
7.8,0.44171875,0.2089375
7.84,0.4426875,0.201375
7.87,0.44446874999999997,0.19321875
7.9,0.44684375,0.18521875
7.94,0.45196875,0.17953125
7.97,0.45709374999999997,0.17881249999999999
8.0,0.46209374999999997,0.17834375
8.04,0.46659375,0.1775
8.07,0.4731875,0.17584375
8.1,0.4791875,0.17353125
8.14,0.48521875,0.17121875
8.17,0.4891875,0.16915625
8.2,0.49059375,0.1679375
8.24,0.49193749999999997,0.16715625
8.27,0.49340625,0.16646875
8.3,0.49084374999999997,0.165375
8.34,0.48646875,0.164
8.37,0.4823125,0.16271875
8.4,0.47984375,0.161875
8.44,0.4785625,0.160625
8.47,0.47753125,0.158
8.51,0.47640625,0.155125
8.54,0.4764375,0.15371875
8.57,0.47690625,0.1530625
8.6,0.47728125,0.15275
8.64,0.47784375,0.153375
8.67,0.47903125,0.1545625
8.7,0.47990625,0.15634375
8.74,0.48046875,0.15878124999999998
8.77,0.4816875,0.16103125
8.8,0.482875,0.16078125
8.84,0.48421875,0.1599375
8.87,0.4858125,0.15887500000000002
8.9,0.48790625,0.15953125
8.94,0.49103125,0.1675625
8.97,0.4935625,0.176
9.01,0.4955625,0.18465625
9.04,0.4956875,0.19071875
9.07,0.4946875,0.19243749999999998
9.1,0.494,0.19409375
9.14,0.49309375,0.19375
9.17,0.49315624999999996,0.19334374999999998
9.2,0.4929375,0.19309375
9.24,0.49306249999999996,0.19340625
9.27,0.4875625,0.19465625
9.3,0.4815625,0.1959375
9.34,0.47578125,0.197
9.37,0.4705,0.19790625
9.4,0.4669375,0.1989375
9.44,0.4650625,0.1998125
9.47,0.46325,0.2008125
9.51,0.46399999999999997,0.202625
9.54,0.46725,0.20434375
9.57,0.47275,0.20609375
9.6,0.47775,0.2066875
9.64,0.48275,0.20465624999999998
9.67,0.4845,0.2019375
9.7,0.484875,0.19924999999999998
9.74,0.48578125,0.19878125
9.77,0.48621875,0.19846875
9.8,0.486,0.19853125
9.84,0.48603124999999997,0.19803125
9.87,0.4866875,0.19628125
9.91,0.48734375,0.1945625
9.94,0.488125,0.192875
9.97,0.48884375,0.19243749999999998
10.01,0.48993749999999997,0.19390625
10.04,0.49134374999999997,0.195375
10.07,0.49240625,0.19678125
10.11,0.49328125,0.1984375
10.14,0.49684375,0.20365624999999998
10.17,0.5033125,0.21234375
10.21,0.50990625,0.220875
10.24,0.51534375,0.22753125
10.27,0.5164375,0.22875
10.31,0.51765625,0.23021875
10.34,0.51890625,0.231375
10.37,0.51984375,0.23290624999999998
10.41,0.52034375,0.23531249999999998
10.44,0.52103125,0.23746875
10.47,0.52040625,0.23906249999999998
10.51,0.519625,0.24096875
10.54,0.5188125,0.24287499999999998
10.57,0.51834375,0.24415625
10.61,0.5179375,0.2448125
10.64,0.51721875,0.24562499999999998
10.67,0.51559375,0.2465625
10.71,0.51553125,0.24740625
10.74,0.51690625,0.24765625
10.77,0.51915625,0.24746875000000002
10.81,0.52240625,0.24728125
10.84,0.52921875,0.2471875
10.87,0.5358125,0.24728125
10.91,0.54228125,0.24753125
10.94,0.54371875,0.24775
10.97,0.54309375,0.24815625
11.01,0.54234375,0.2486875
11.04,0.5413125,0.24934375
11.07,0.53959375,0.2503125
11.11,0.53934375,0.2508125
11.14,0.5391875,0.25134375
11.17,0.53828125,0.25175
11.21,0.53771875,0.2520625
11.24,0.53728125,0.25275000000000003
11.27,0.5378125,0.253375
11.31,0.541,0.25390625
11.34,0.54371875,0.254
11.37,0.54615625,0.25390625
11.41,0.547375,0.25271875
11.44,0.5476875,0.2505625
11.47,0.5478125,0.24878125
11.51,0.54784375,0.2468125
11.54,0.54784375,0.24478125
11.57,0.54790625,0.24171874999999998
11.61,0.54846875,0.2380625
11.64,0.549,0.23503125
11.67,0.54940625,0.23365625
11.71,0.5495625,0.2333125
11.74,0.54959375,0.23340625
11.77,0.5494375,0.234625
11.81,0.54940625,0.23690625
11.84,0.549375,0.2391875
11.87,0.5495625,0.24165625
11.91,0.55390625,0.2526875
11.94,0.5583125,0.263625
11.97,0.5625625,0.27484375
12.01,0.56459375,0.2825
12.04,0.5641875,0.285375
12.07,0.5636249999999999,0.28846875
12.11,0.56309375,0.2915
12.14,0.559875,0.2910625
12.17,0.5559375,0.2891875
12.21,0.55203125,0.28731249999999997
12.24,0.54825,0.28465625
12.27,0.5454375,0.28146875
12.31,0.543,0.27815625
12.34,0.54071875,0.2750625
12.37,0.53671875,0.27296875
12.41,0.53240625,0.27121875
12.44,0.5276875,0.26884375
12.47,0.52128125,0.26678124999999997
12.51,0.51059375,0.26759375
12.54,0.5000625,0.268375
12.57,0.4895,0.2693125
12.61,0.4851875,0.26940625
12.64,0.48484375,0.2673125
12.67,0.48443749999999997,0.26671875
12.71,0.484,0.26671875
12.74,0.4893125,0.27318749999999997
12.77,0.49534375,0.2803125
12.81,0.50115625,0.28703125
12.84,0.50765625,0.293625
12.87,0.51484375,0.2980625
12.91,0.52234375,0.30215625
12.94,0.52978125,0.3061875
12.97,0.5329375,0.30715625
13.01,0.53303125,0.31009375
13.04,0.5330625,0.31284375
13.07,0.5328125,0.31584375
13.11,0.52815625,0.3170625
13.14,0.5238125,0.31615625
13.17,0.5195625,0.31509375
13.21,0.516625,0.31290625
13.24,0.51734375,0.31071875
13.27,0.518375,0.30853125
13.31,0.51946875,0.306125
13.34,0.5208437499999999,0.30515625
13.37,0.520875,0.30503125
13.41,0.5208437499999999,0.30515625
13.44,0.52090625,0.3050625
13.47,0.52146875,0.30471875
13.51,0.52190625,0.3058125
13.54,0.52240625,0.30753125
13.57,0.52265625,0.3105
13.61,0.5226875,0.3139375
13.64,0.5225,0.315875
13.67,0.52228125,0.31759375
13.71,0.52171875,0.3188125
