Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	705.17	0.0	[463, 370, 264, 296]	True
arousal	Levene	118.75	0.0	[463, 370, 264, 296]	True
valence	Barlett	261.41	0.0	[463, 370, 264, 296]	True
valence	Levene	122.52	0.0	[463, 370, 264, 296]	True
