Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	145.17	0.0	[230, 138, 575, 447]	True
beta	Levene	2.53	0.055	[230, 138, 575, 447]	False
frontal_alpha	Barlett	3.67	0.3	[230, 138, 575, 447]	False
frontal_alpha	Levene	0.51	0.678	[230, 138, 575, 447]	False
frontal_theta	Barlett	53.49	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	10.78	0.0	[230, 138, 575, 447]	True
gamma	Barlett	218.98	0.0	[230, 138, 575, 447]	True
gamma	Levene	1.74	0.158	[230, 138, 575, 447]	False
hf-hrv	Barlett	140.96	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	21.87	0.0	[230, 138, 575, 447]	True
ibi	Barlett	6.22	0.101	[230, 138, 575, 447]	False
ibi	Levene	0.66	0.579	[230, 138, 575, 447]	False
posterior_alpha	Barlett	12.89	0.005	[230, 138, 575, 447]	True
posterior_alpha	Levene	4.06	0.007	[230, 138, 575, 447]	True
