Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	235.29	0.0	[230, 138, 575, 447]	True
beta	Levene	20.24	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	33.37	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	7.82	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	233.92	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	14.32	0.0	[230, 138, 575, 447]	True
gamma	Barlett	550.46	0.0	[230, 138, 575, 447]	True
gamma	Levene	29.36	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	75.46	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	35.02	0.0	[230, 138, 575, 447]	True
ibi	Barlett	121.26	0.0	[230, 138, 575, 447]	True
ibi	Levene	17.91	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	99.01	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	7.24	0.0	[230, 138, 575, 447]	True
