Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	111.13	0.0	[278, 358, 117, 637]	True
beta	Levene	4.88	0.002	[278, 358, 117, 637]	True
frontal_alpha	Barlett	30.83	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	3.65	0.012	[278, 358, 117, 637]	True
frontal_theta	Barlett	2.77	0.429	[278, 358, 117, 637]	False
frontal_theta	Levene	2.65	0.048	[278, 358, 117, 637]	True
gamma	Barlett	145.07	0.0	[278, 358, 117, 637]	True
gamma	Levene	5.96	0.0	[278, 358, 117, 637]	True
posterior_alpha	Barlett	68.28	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	5.72	0.001	[278, 358, 117, 637]	True
