State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.33	219	0.0	True
0	beta	0.48	219	0.0	True
0	frontal_alpha	0.81	219	0.0	True
0	frontal_theta	0.96	219	0.0	True
0	gamma	0.52	219	0.0	True
0	hf-hrv	0.95	219	0.0	True
0	ibi	0.98	219	0.001	True
0	posterior_alpha	0.76	219	0.0	True
0	valence	0.94	219	0.0	True
1	arousal	0.81	426	0.0	True
1	beta	0.92	426	0.0	True
1	frontal_alpha	0.73	426	0.0	True
1	frontal_theta	0.91	426	0.0	True
1	gamma	0.85	426	0.0	True
1	hf-hrv	0.91	426	0.0	True
1	ibi	0.98	426	0.0	True
1	posterior_alpha	0.84	426	0.0	True
1	valence	0.92	426	0.0	True
2	arousal	0.57	169	0.0	True
2	beta	0.45	169	0.0	True
2	frontal_alpha	0.64	169	0.0	True
2	frontal_theta	0.92	169	0.0	True
2	gamma	0.42	169	0.0	True
2	hf-hrv	0.96	169	0.0	True
2	ibi	0.98	169	0.055	False
2	posterior_alpha	0.6	169	0.0	True
2	valence	0.9	169	0.0	True
3	arousal	0.28	576	0.0	True
3	beta	0.3	576	0.0	True
3	frontal_alpha	0.72	576	0.0	True
3	frontal_theta	0.92	576	0.0	True
3	gamma	0.24	576	0.0	True
3	hf-hrv	0.98	576	0.0	True
3	ibi	0.98	576	0.0	True
3	posterior_alpha	0.86	576	0.0	True
3	valence	0.97	576	0.0	True
