State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.86	219	0.0	True
0	beta	0.94	219	0.0	True
0	frontal_alpha	0.98	219	0.005	True
0	frontal_theta	0.96	219	0.0	True
0	gamma	0.93	219	0.0	True
0	hf-hrv	0.99	219	0.041	True
0	ibi	0.93	219	0.0	True
0	posterior_alpha	0.97	219	0.0	True
0	valence	0.69	219	0.0	True
1	arousal	0.93	426	0.0	True
1	beta	0.89	426	0.0	True
1	frontal_alpha	0.91	426	0.0	True
1	frontal_theta	0.96	426	0.0	True
1	gamma	0.81	426	0.0	True
1	hf-hrv	0.99	426	0.0	True
1	ibi	1.0	426	0.219	False
1	posterior_alpha	0.93	426	0.0	True
1	valence	0.87	426	0.0	True
2	arousal	0.86	169	0.0	True
2	beta	0.84	169	0.0	True
2	frontal_alpha	0.95	169	0.0	True
2	frontal_theta	0.91	169	0.0	True
2	gamma	0.71	169	0.0	True
2	hf-hrv	0.85	169	0.0	True
2	ibi	0.96	169	0.0	True
2	posterior_alpha	0.92	169	0.0	True
2	valence	0.76	169	0.0	True
3	arousal	0.9	576	0.0	True
3	beta	0.62	576	0.0	True
3	frontal_alpha	0.96	576	0.0	True
3	frontal_theta	0.96	576	0.0	True
3	gamma	0.53	576	0.0	True
3	hf-hrv	0.99	576	0.003	True
3	ibi	0.96	576	0.0	True
3	posterior_alpha	0.96	576	0.0	True
3	valence	0.65	576	0.0	True
