State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.98	230	0.001	True
0	frontal_alpha	0.64	230	0.0	True
0	frontal_theta	0.77	230	0.0	True
0	gamma	0.92	230	0.0	True
0	hf-hrv	0.99	230	0.111	False
0	ibi	0.99	230	0.06	False
0	posterior_alpha	0.59	230	0.0	True
1	beta	0.93	138	0.0	True
1	frontal_alpha	0.69	138	0.0	True
1	frontal_theta	0.82	138	0.0	True
1	gamma	0.89	138	0.0	True
1	hf-hrv	0.73	138	0.0	True
1	ibi	0.99	138	0.799	False
1	posterior_alpha	0.65	138	0.0	True
2	beta	0.9	575	0.0	True
2	frontal_alpha	0.61	575	0.0	True
2	frontal_theta	0.69	575	0.0	True
2	gamma	0.73	575	0.0	True
2	hf-hrv	0.97	575	0.0	True
2	ibi	0.99	575	0.022	True
2	posterior_alpha	0.59	575	0.0	True
3	beta	0.88	447	0.0	True
3	frontal_alpha	0.74	447	0.0	True
3	frontal_theta	0.79	447	0.0	True
3	gamma	0.86	447	0.0	True
3	hf-hrv	0.99	447	0.001	True
3	ibi	0.99	447	0.012	True
3	posterior_alpha	0.66	447	0.0	True
